slot,clock,theta_c,lambda_kw,critical_kw,shiftable_kw,curtailable_kw,cat_Residential_kw,cat_Commercial_kw,cat_Industrial_kw,cat_Hospital_kw,cat_Educational_kw,cat_Government_kw
33,16:30,32.33310115228912,100772.08066620513,29501.320688352203,3814.3319733913854,67456.42800446154,54780.40238432317,24195.673996843216,7036.282013609954,3225.0478589432587,6116.688464505249,5417.985947980287
34,17:00,32.00479503918484,127344.93127644001,29248.147110539987,21362.256924613015,76734.52724128701,77936.35404478523,25509.19285894475,7752.704554371477,2645.6148468904566,8554.361958514452,4946.703012933663
35,17:30,31.628588839716357,127629.85675927617,29652.94629011426,23103.364332527137,74873.54613663477,82032.6000077049,25840.981308896673,7200.137980939024,2812.573504294309,6644.013372289488,3099.550585151736
36,18:00,31.207526637259566,119193.08081461341,26085.3374830239,25676.267325215886,67431.47600637362,79309.41916865086,26884.22119239378,2251.4320214030136,2903.7208424343467,4662.740883136128,3181.546706595357
37,18:30,30.7447520199074,135454.17184568435,25417.945376895223,43505.30254498411,66530.92392380502,97910.74762245048,25927.56323824611,2026.8395198419994,3159.6103490005053,4788.87402281602,1640.5370933292284
38,19:00,30.28310197914315,131002.40190340129,25760.09732384609,25484.875593035533,79757.42898651966,95947.93672780423,24811.133294275514,1108.1169422000903,3212.5409122841993,4889.038135477479,1033.6358913597176
39,19:30,29.867188570619444,137999.99999999994,25601.187137219647,27831.073328110666,84567.73953466964,104124.64509877723,23868.684187733295,849.5249142013021,2988.5094095458553,5202.106392529132,966.5299972132294
40,20:00,29.492480570803306,133424.26482565605,26660.56514947178,20404.43722191374,86359.26245427053,97047.03228213369,25197.41520089229,1752.347717206574,2562.7362248080944,5147.3742730256945,1717.3591275896983
41,20:30,29.154895673926372,113563.23082487631,26316.479859468738,17110.274856712324,70136.47610869525,81326.05829600511,22686.85963382631,1868.6484513558012,2668.558598902691,3874.7939476986903,1138.3118970877315
42,21:00,28.850756016765786,112305.33044041364,25890.841453820405,16120.713166723926,70293.7758198693,86653.87908915909,19237.373582644752,1680.0825790410518,2199.7785218635286,915.8142258860935,1618.4024418191266
43,21:30,28.576748109677805,94312.94419399313,24690.121369444292,993.932755080476,68628.89006946835,67819.36406360925,20095.39174324605,812.0127482670682,2496.3737380360512,1992.3055975477712,1097.4963032868347
44,22:00,28.329886737347486,103779.765368332,24575.295456717846,1162.7596185682,78041.71029304595,78443.15663913552,18805.23317401315,2002.7420127256812,2532.7705642094056,1175.3461234671706,820.5168547810371
45,22:30,28.107482435966354,79397.83285235004,24476.676795018266,520.5692799929601,54400.58677733881,67800.86458881402,5491.311345215534,1699.2891598757074,2554.570258181747,665.1730764127742,1186.6244238503077
46,23:00,27.907112192513914,65284.30437734697,24575.32231290518,683.7032647246292,40025.27879971716,54304.321052129715,4624.094910445132,1202.8835561123576,2288.739584697404,954.1124868565402,1910.152787105865
47,23:30,27.726593046922442,71362.42156357472,24617.995938156528,454.1822543428487,46290.24337107534,61529.659787054305,3604.7955017592835,1578.3834790719511,2613.7384165650556,999.665472206435,1036.1789069176539
