nodeId,date,substation,action,energy_shifted_kwh,energy_curtailed_kwh,molp_alpha,gcs_score,predicted_load_w,optimised_load_w,power_deviation_ratio,substation_pred_peak_mw,actual_substation_peak_mw,forecast_error_mw,stress_threshold_mw,rebate_bdt,temp_max_c,price_multiplier_norm,appliance_alpha,explanation,label
DR_KAL_00010,2026-06-17,Kalyanpur,DR_CURTAIL+SHIFT,3.97,0.452,0.6,0.8416,889.0,152.0,0.829,120.65,129.0,-8.35,117.94,1.36,33.0,1.0,0.7,"On 2026-06-17, a high-impact event (GCS=0.84) at Kalyanpur substation passed the Priority Pool filter. Household KHH0058 (middle tier) shifted 3.97 kWh of schedulable load to off-peak hours and curtailed 0.45 kWh of curtailable load during the 17:00-23:00 peak, earning a rebate of 1.4 BDT. Critical appliances were not affected. The day-ahead BiGRU+BiLSTM forecast projected a substation peak of 120.7 MW, which triggered the demand-response window.",DrEvent
DR_KAL_00011,2024-05-16,Kalyanpur,DR_CURTAIL+SHIFT,3.609,0.367,0.6,0.8392,805.3,142.6,0.8229,119.77,132.0,-12.23,117.94,1.1,38.6,1.0,0.7,"On 2024-05-16, a high-impact event (GCS=0.84) at Kalyanpur substation passed the Priority Pool filter. Household KHH0058 (middle tier) shifted 3.61 kWh of schedulable load to off-peak hours and curtailed 0.37 kWh of curtailable load during the 17:00-23:00 peak, earning a rebate of 1.1 BDT. Critical appliances were not affected. The day-ahead BiGRU+BiLSTM forecast projected a substation peak of 119.8 MW, which triggered the demand-response window.",DrEvent
DR_KAL_00012,2024-08-31,Kalyanpur,DR_CURTAIL+SHIFT,4.123,0.525,0.6,0.8391,941.5,166.8,0.8228,118.0,124.8,-6.8,117.94,1.58,32.8,1.0,0.7,"On 2024-08-31, a high-impact event (GCS=0.84) at Kalyanpur substation passed the Priority Pool filter. Household KHH0058 (middle tier) shifted 4.12 kWh of schedulable load to off-peak hours and curtailed 0.53 kWh of curtailable load during the 17:00-23:00 peak, earning a rebate of 1.6 BDT. Critical appliances were not affected. The day-ahead BiGRU+BiLSTM forecast projected a substation peak of 118.0 MW, which triggered the demand-response window.",DrEvent
DR_KAL_00013,2024-09-21,Kalyanpur,DR_CURTAIL+SHIFT,4.39,0.565,0.6,0.8386,1005.3,179.5,0.8214,126.4,132.0,-5.6,117.94,1.69,34.6,1.0,0.7,"On 2024-09-21, a high-impact event (GCS=0.84) at Kalyanpur substation passed the Priority Pool filter. Household KHH0058 (middle tier) shifted 4.39 kWh of schedulable load to off-peak hours and curtailed 0.56 kWh of curtailable load during the 17:00-23:00 peak, earning a rebate of 1.7 BDT. Critical appliances were not affected. The day-ahead BiGRU+BiLSTM forecast projected a substation peak of 126.4 MW, which triggered the demand-response window.",DrEvent
DR_KAL_00014,2026-06-04,Kalyanpur,DR_CURTAIL+SHIFT,3.906,0.483,0.6,0.8384,890.9,159.4,0.821,122.4,129.0,-6.61,117.94,1.45,33.9,1.0,0.7,"On 2026-06-04, a high-impact event (GCS=0.84) at Kalyanpur substation passed the Priority Pool filter. Household KHH0058 (middle tier) shifted 3.91 kWh of schedulable load to off-peak hours and curtailed 0.48 kWh of curtailable load during the 17:00-23:00 peak, earning a rebate of 1.4 BDT. Critical appliances were not affected. The day-ahead BiGRU+BiLSTM forecast projected a substation peak of 122.4 MW, which triggered the demand-response window.",DrEvent
DR_KAL_00015,2026-06-10,Kalyanpur,DR_CURTAIL+SHIFT,3.757,0.459,0.6,0.8383,856.1,153.4,0.8208,121.39,114.0,7.39,117.94,1.38,,1.0,0.7,"On 2026-06-10, a high-impact event (GCS=0.84) at Kalyanpur substation passed the Priority Pool filter. Household KHH0058 (middle tier) shifted 3.76 kWh of schedulable load to off-peak hours and curtailed 0.46 kWh of curtailable load during the 17:00-23:00 peak, earning a rebate of 1.4 BDT. Critical appliances were not affected. The day-ahead BiGRU+BiLSTM forecast projected a substation peak of 121.4 MW, which triggered the demand-response window.",DrEvent
DR_KAL_00016,2026-04-23,Kalyanpur,DR_CURTAIL+SHIFT,4.114,0.473,0.6,0.8382,931.9,167.3,0.8204,120.91,132.0,-11.09,117.94,1.42,36.7,1.0,0.7,"On 2026-04-23, a high-impact event (GCS=0.84) at Kalyanpur substation passed the Priority Pool filter. Household KHH0058 (middle tier) shifted 4.11 kWh of schedulable load to off-peak hours and curtailed 0.47 kWh of curtailable load during the 17:00-23:00 peak, earning a rebate of 1.4 BDT. Critical appliances were not affected. The day-ahead BiGRU+BiLSTM forecast projected a substation peak of 120.9 MW, which triggered the demand-response window.",DrEvent
DR_KAL_00017,2026-06-27,Kalyanpur,DR_CURTAIL+SHIFT,7.324,0.698,0.6,0.838,1630.4,293.6,0.8199,124.24,132.0,-7.75,117.94,2.09,35.2,1.0,0.7,"On 2026-06-27, a high-impact event (GCS=0.84) at Kalyanpur substation passed the Priority Pool filter. Household KHH0084 (middle tier) shifted 7.32 kWh of schedulable load to off-peak hours and curtailed 0.70 kWh of curtailable load during the 17:00-23:00 peak, earning a rebate of 2.1 BDT. Critical appliances were not affected. The day-ahead BiGRU+BiLSTM forecast projected a substation peak of 124.2 MW, which triggered the demand-response window.",DrEvent
DR_KAL_00018,2026-06-05,Kalyanpur,DR_CURTAIL+SHIFT,3.898,0.532,0.6,0.8353,907.9,169.5,0.8133,123.79,111.0,12.79,117.94,1.6,31.3,1.0,0.7,"On 2026-06-05, a high-impact event (GCS=0.84) at Kalyanpur substation passed the Priority Pool filter. Household KHH0058 (middle tier) shifted 3.90 kWh of schedulable load to off-peak hours and curtailed 0.53 kWh of curtailable load during the 17:00-23:00 peak, earning a rebate of 1.6 BDT. Critical appliances were not affected. The day-ahead BiGRU+BiLSTM forecast projected a substation peak of 123.8 MW, which triggered the demand-response window.",DrEvent
DR_KAL_00019,2024-04-28,Kalyanpur,DR_CURTAIL+SHIFT,4.2,0.581,0.6,0.8346,981.7,184.9,0.8116,124.45,132.0,-7.55,117.94,1.74,39.4,1.0,0.7,"On 2024-04-28, a high-impact event (GCS=0.83) at Kalyanpur substation passed the Priority Pool filter. Household KHH0058 (middle tier) shifted 4.20 kWh of schedulable load to off-peak hours and curtailed 0.58 kWh of curtailable load during the 17:00-23:00 peak, earning a rebate of 1.7 BDT. Critical appliances were not affected. The day-ahead BiGRU+BiLSTM forecast projected a substation peak of 124.5 MW, which triggered the demand-response window.",DrEvent
DR_KAL_00020,2024-05-26,Kalyanpur,DR_CURTAIL+SHIFT,3.461,0.523,0.6,0.8344,818.7,154.7,0.811,128.39,132.0,-3.61,117.94,1.57,36.8,1.0,0.7,"On 2024-05-26, a high-impact event (GCS=0.83) at Kalyanpur substation passed the Priority Pool filter. Household KHH0052 (middle tier) shifted 3.46 kWh of schedulable load to off-peak hours and curtailed 0.52 kWh of curtailable load during the 17:00-23:00 peak, earning a rebate of 1.6 BDT. Critical appliances were not affected. The day-ahead BiGRU+BiLSTM forecast projected a substation peak of 128.4 MW, which triggered the demand-response window.",DrEvent
DR_KAL_00021,2026-04-20,Kalyanpur,DR_CURTAIL+SHIFT,3.954,0.524,0.6,0.834,921.3,175.0,0.81,118.7,123.0,-4.3,117.94,1.57,36.1,1.0,0.7,"On 2026-04-20, a high-impact event (GCS=0.83) at Kalyanpur substation passed the Priority Pool filter. Household KHH0058 (middle tier) shifted 3.95 kWh of schedulable load to off-peak hours and curtailed 0.52 kWh of curtailable load during the 17:00-23:00 peak, earning a rebate of 1.6 BDT. Critical appliances were not affected. The day-ahead BiGRU+BiLSTM forecast projected a substation peak of 118.7 MW, which triggered the demand-response window.",DrEvent
DR_KAL_00022,2024-05-18,Kalyanpur,DR_CURTAIL+SHIFT,3.965,0.591,0.6,0.834,937.5,178.2,0.8099,129.22,132.0,-2.78,117.94,1.77,38.4,1.0,0.7,"On 2024-05-18, a high-impact event (GCS=0.83) at Kalyanpur substation passed the Priority Pool filter. Household KHH0058 (middle tier) shifted 3.96 kWh of schedulable load to off-peak hours and curtailed 0.59 kWh of curtailable load during the 17:00-23:00 peak, earning a rebate of 1.8 BDT. Critical appliances were not affected. The day-ahead BiGRU+BiLSTM forecast projected a substation peak of 129.2 MW, which triggered the demand-response window.",DrEvent
DR_KAL_00023,2025-04-27,Kalyanpur,DR_CURTAIL+SHIFT,4.106,0.582,0.6,0.8334,966.6,185.2,0.8084,118.16,120.0,-1.84,117.94,1.75,34.2,1.0,0.7,"On 2025-04-27, a high-impact event (GCS=0.83) at Kalyanpur substation passed the Priority Pool filter. Household KHH0058 (middle tier) shifted 4.11 kWh of schedulable load to off-peak hours and curtailed 0.58 kWh of curtailable load during the 17:00-23:00 peak, earning a rebate of 1.7 BDT. Critical appliances were not affected. The day-ahead BiGRU+BiLSTM forecast projected a substation peak of 118.2 MW, which triggered the demand-response window.",DrEvent
DR_KAL_00024,2026-05-21,Kalyanpur,DR_CURTAIL+SHIFT,3.604,0.482,0.6,0.8334,842.4,161.4,0.8084,120.79,132.0,-11.21,117.94,1.45,32.6,1.0,0.7,"On 2026-05-21, a high-impact event (GCS=0.83) at Kalyanpur substation passed the Priority Pool filter. Household KHH0058 (middle tier) shifted 3.60 kWh of schedulable load to off-peak hours and curtailed 0.48 kWh of curtailable load during the 17:00-23:00 peak, earning a rebate of 1.4 BDT. Critical appliances were not affected. The day-ahead BiGRU+BiLSTM forecast projected a substation peak of 120.8 MW, which triggered the demand-response window.",DrEvent
DR_KAL_00025,2026-06-15,Kalyanpur,DR_CURTAIL+SHIFT,3.602,0.493,0.6,0.8332,844.6,162.1,0.808,119.43,123.0,-3.57,117.94,1.48,33.4,1.0,0.7,"On 2026-06-15, a high-impact event (GCS=0.83) at Kalyanpur substation passed the Priority Pool filter. Household KHH0058 (middle tier) shifted 3.60 kWh of schedulable load to off-peak hours and curtailed 0.49 kWh of curtailable load during the 17:00-23:00 peak, earning a rebate of 1.5 BDT. Critical appliances were not affected. The day-ahead BiGRU+BiLSTM forecast projected a substation peak of 119.4 MW, which triggered the demand-response window.",DrEvent
DR_KAL_00026,2026-06-18,Kalyanpur,DR_CURTAIL+SHIFT,3.452,0.466,0.6,0.8323,810.3,157.4,0.8058,121.94,120.0,1.94,117.94,1.4,33.8,1.0,0.7,"On 2026-06-18, a high-impact event (GCS=0.83) at Kalyanpur substation passed the Priority Pool filter. Household KHH0058 (middle tier) shifted 3.45 kWh of schedulable load to off-peak hours and curtailed 0.47 kWh of curtailable load during the 17:00-23:00 peak, earning a rebate of 1.4 BDT. Critical appliances were not affected. The day-ahead BiGRU+BiLSTM forecast projected a substation peak of 121.9 MW, which triggered the demand-response window.",DrEvent
DR_KAL_00027,2024-09-02,Kalyanpur,DR_CURTAIL+SHIFT,3.882,0.55,0.6,0.8314,919.3,180.6,0.8035,118.79,126.0,-7.21,117.94,1.65,23.8,1.0,0.7,"On 2024-09-02, a high-impact event (GCS=0.83) at Kalyanpur substation passed the Priority Pool filter. Household KHH0058 (middle tier) shifted 3.88 kWh of schedulable load to off-peak hours and curtailed 0.55 kWh of curtailable load during the 17:00-23:00 peak, earning a rebate of 1.7 BDT. Critical appliances were not affected. The day-ahead BiGRU+BiLSTM forecast projected a substation peak of 118.8 MW, which triggered the demand-response window.",DrEvent
DR_KAL_00028,2026-06-17,Kalyanpur,DR_CURTAIL+SHIFT,3.271,0.527,0.6,0.8312,788.2,155.3,0.803,120.65,129.0,-8.35,117.94,1.58,33.0,1.0,0.7,"On 2026-06-17, a high-impact event (GCS=0.83) at Kalyanpur substation passed the Priority Pool filter. Household KHH0052 (middle tier) shifted 3.27 kWh of schedulable load to off-peak hours and curtailed 0.53 kWh of curtailable load during the 17:00-23:00 peak, earning a rebate of 1.6 BDT. Critical appliances were not affected. The day-ahead BiGRU+BiLSTM forecast projected a substation peak of 120.7 MW, which triggered the demand-response window.",DrEvent
DR_KAL_00029,2024-05-21,Kalyanpur,DR_CURTAIL+SHIFT,3.839,0.587,0.6,0.8312,918.6,180.9,0.803,118.35,126.0,-7.65,117.94,1.76,34.1,1.0,0.7,"On 2024-05-21, a high-impact event (GCS=0.83) at Kalyanpur substation passed the Priority Pool filter. Household KHH0058 (middle tier) shifted 3.84 kWh of schedulable load to off-peak hours and curtailed 0.59 kWh of curtailable load during the 17:00-23:00 peak, earning a rebate of 1.8 BDT. Critical appliances were not affected. The day-ahead BiGRU+BiLSTM forecast projected a substation peak of 118.3 MW, which triggered the demand-response window.",DrEvent
DR_KAL_00030,2025-04-27,Kalyanpur,DR_CURTAIL+SHIFT,3.318,0.511,0.6,0.8308,795.7,157.5,0.802,118.16,120.0,-1.84,117.94,1.53,34.2,1.0,0.7,"On 2025-04-27, a high-impact event (GCS=0.83) at Kalyanpur substation passed the Priority Pool filter. Household KHH0052 (middle tier) shifted 3.32 kWh of schedulable load to off-peak hours and curtailed 0.51 kWh of curtailable load during the 17:00-23:00 peak, earning a rebate of 1.5 BDT. Critical appliances were not affected. The day-ahead BiGRU+BiLSTM forecast projected a substation peak of 118.2 MW, which triggered the demand-response window.",DrEvent
DR_KAL_00031,2024-05-04,Kalyanpur,DR_CURTAIL+SHIFT,3.527,0.517,0.6,0.8303,841.6,167.7,0.8008,123.26,132.0,-8.74,117.94,1.55,36.8,1.0,0.7,"On 2024-05-04, a high-impact event (GCS=0.83) at Kalyanpur substation passed the Priority Pool filter. Household KHH0058 (middle tier) shifted 3.53 kWh of schedulable load to off-peak hours and curtailed 0.52 kWh of curtailable load during the 17:00-23:00 peak, earning a rebate of 1.6 BDT. Critical appliances were not affected. The day-ahead BiGRU+BiLSTM forecast projected a substation peak of 123.3 MW, which triggered the demand-response window.",DrEvent
DR_KAL_00032,2026-06-03,Kalyanpur,DR_CURTAIL+SHIFT,3.687,0.595,0.6,0.8303,891.2,177.5,0.8008,118.38,126.0,-7.62,117.94,1.78,34.1,1.0,0.7,"On 2026-06-03, a high-impact event (GCS=0.83) at Kalyanpur substation passed the Priority Pool filter. Household KHH0058 (middle tier) shifted 3.69 kWh of schedulable load to off-peak hours and curtailed 0.59 kWh of curtailable load during the 17:00-23:00 peak, earning a rebate of 1.8 BDT. Critical appliances were not affected. The day-ahead BiGRU+BiLSTM forecast projected a substation peak of 118.4 MW, which triggered the demand-response window.",DrEvent
DR_KAL_00033,2024-06-10,Kalyanpur,DR_CURTAIL+SHIFT,3.265,0.46,0.6,0.83,775.9,155.1,0.8001,118.69,105.0,13.69,117.94,1.38,31.1,1.0,0.7,"On 2024-06-10, a high-impact event (GCS=0.83) at Kalyanpur substation passed the Priority Pool filter. Household KHH0058 (middle tier) shifted 3.27 kWh of schedulable load to off-peak hours and curtailed 0.46 kWh of curtailable load during the 17:00-23:00 peak, earning a rebate of 1.4 BDT. Critical appliances were not affected. The day-ahead BiGRU+BiLSTM forecast projected a substation peak of 118.7 MW, which triggered the demand-response window.",DrEvent
DR_KAL_00034,2026-06-08,Kalyanpur,DR_CURTAIL+SHIFT,3.247,0.454,0.6,0.8298,771.4,154.6,0.7996,118.04,129.0,-10.96,117.94,1.36,,1.0,0.7,"On 2026-06-08, a high-impact event (GCS=0.83) at Kalyanpur substation passed the Priority Pool filter. Household KHH0058 (middle tier) shifted 3.25 kWh of schedulable load to off-peak hours and curtailed 0.45 kWh of curtailable load during the 17:00-23:00 peak, earning a rebate of 1.4 BDT. Critical appliances were not affected. The day-ahead BiGRU+BiLSTM forecast projected a substation peak of 118.0 MW, which triggered the demand-response window.",DrEvent
DR_KAL_00035,2024-05-22,Kalyanpur,DR_CURTAIL+SHIFT,3.396,0.52,0.6,0.8296,816.8,164.2,0.799,120.99,126.0,-5.01,117.94,1.56,34.9,1.0,0.7,"On 2024-05-22, a high-impact event (GCS=0.83) at Kalyanpur substation passed the Priority Pool filter. Household KHH0058 (middle tier) shifted 3.40 kWh of schedulable load to off-peak hours and curtailed 0.52 kWh of curtailable load during the 17:00-23:00 peak, earning a rebate of 1.6 BDT. Critical appliances were not affected. The day-ahead BiGRU+BiLSTM forecast projected a substation peak of 121.0 MW, which triggered the demand-response window.",DrEvent
DR_KAL_00036,2024-04-27,Kalyanpur,DR_CURTAIL+SHIFT,3.97,0.632,0.6,0.8294,960.6,193.6,0.7984,121.79,132.0,-10.21,117.94,1.9,39.4,1.0,0.7,"On 2024-04-27, a high-impact event (GCS=0.83) at Kalyanpur substation passed the Priority Pool filter. Household KHH0058 (middle tier) shifted 3.97 kWh of schedulable load to off-peak hours and curtailed 0.63 kWh of curtailable load during the 17:00-23:00 peak, earning a rebate of 1.9 BDT. Critical appliances were not affected. The day-ahead BiGRU+BiLSTM forecast projected a substation peak of 121.8 MW, which triggered the demand-response window.",DrEvent
DR_KAL_00037,2026-06-14,Kalyanpur,DR_CURTAIL+SHIFT,3.288,0.474,0.6,0.8291,786.0,159.0,0.7977,119.78,126.0,-6.22,117.94,1.42,32.5,1.0,0.7,"On 2026-06-14, a high-impact event (GCS=0.83) at Kalyanpur substation passed the Priority Pool filter. Household KHH0058 (middle tier) shifted 3.29 kWh of schedulable load to off-peak hours and curtailed 0.47 kWh of curtailable load during the 17:00-23:00 peak, earning a rebate of 1.4 BDT. Critical appliances were not affected. The day-ahead BiGRU+BiLSTM forecast projected a substation peak of 119.8 MW, which triggered the demand-response window.",DrEvent
DR_KAL_00038,2024-09-19,Kalyanpur,DR_CURTAIL+SHIFT,3.81,0.586,0.6,0.829,918.9,186.1,0.7975,121.23,132.0,-10.77,117.94,1.76,34.2,1.0,0.7,"On 2024-09-19, a high-impact event (GCS=0.83) at Kalyanpur substation passed the Priority Pool filter. Household KHH0058 (middle tier) shifted 3.81 kWh of schedulable load to off-peak hours and curtailed 0.59 kWh of curtailable load during the 17:00-23:00 peak, earning a rebate of 1.8 BDT. Critical appliances were not affected. The day-ahead BiGRU+BiLSTM forecast projected a substation peak of 121.2 MW, which triggered the demand-response window.",DrEvent
DR_KAL_00039,2026-06-09,Kalyanpur,DR_CURTAIL+SHIFT,3.03,0.415,0.6,0.8283,721.6,147.3,0.7958,121.64,126.0,-4.36,117.94,1.24,,1.0,0.7,"On 2026-06-09, a high-impact event (GCS=0.83) at Kalyanpur substation passed the Priority Pool filter. Household KHH0058 (middle tier) shifted 3.03 kWh of schedulable load to off-peak hours and curtailed 0.41 kWh of curtailable load during the 17:00-23:00 peak, earning a rebate of 1.2 BDT. Critical appliances were not affected. The day-ahead BiGRU+BiLSTM forecast projected a substation peak of 121.6 MW, which triggered the demand-response window.",DrEvent
DR_KAL_00040,2024-09-10,Kalyanpur,DR_CURTAIL+SHIFT,3.313,0.423,0.6,0.8281,783.1,160.3,0.7952,118.69,109.5,9.19,117.94,1.27,31.3,1.0,0.7,"On 2024-09-10, a high-impact event (GCS=0.83) at Kalyanpur substation passed the Priority Pool filter. Household KHH0058 (middle tier) shifted 3.31 kWh of schedulable load to off-peak hours and curtailed 0.42 kWh of curtailable load during the 17:00-23:00 peak, earning a rebate of 1.3 BDT. Critical appliances were not affected. The day-ahead BiGRU+BiLSTM forecast projected a substation peak of 118.7 MW, which triggered the demand-response window.",DrEvent
DR_KAL_00041,2024-05-03,Kalyanpur,DR_CURTAIL+SHIFT,3.468,0.584,0.6,0.828,849.6,174.1,0.795,119.65,132.0,-12.35,117.94,1.75,31.2,1.0,0.7,"On 2024-05-03, a high-impact event (GCS=0.83) at Kalyanpur substation passed the Priority Pool filter. Household KHH0058 (middle tier) shifted 3.47 kWh of schedulable load to off-peak hours and curtailed 0.58 kWh of curtailable load during the 17:00-23:00 peak, earning a rebate of 1.8 BDT. Critical appliances were not affected. The day-ahead BiGRU+BiLSTM forecast projected a substation peak of 119.7 MW, which triggered the demand-response window.",DrEvent
DR_KAL_00042,2024-05-19,Kalyanpur,DR_CURTAIL+SHIFT,3.041,0.425,0.6,0.8279,727.0,149.2,0.7947,129.54,123.0,6.54,117.94,1.27,34.6,1.0,0.7,"On 2024-05-19, a high-impact event (GCS=0.83) at Kalyanpur substation passed the Priority Pool filter. Household KHH0058 (middle tier) shifted 3.04 kWh of schedulable load to off-peak hours and curtailed 0.42 kWh of curtailable load during the 17:00-23:00 peak, earning a rebate of 1.3 BDT. Critical appliances were not affected. The day-ahead BiGRU+BiLSTM forecast projected a substation peak of 129.5 MW, which triggered the demand-response window.",DrEvent
DR_KAL_00043,2024-04-29,Kalyanpur,DR_CURTAIL+SHIFT,3.231,0.411,0.6,0.8278,763.9,156.9,0.7946,123.98,132.0,-8.02,117.94,1.23,41.1,1.0,0.7,"On 2024-04-29, a high-impact event (GCS=0.83) at Kalyanpur substation passed the Priority Pool filter. Household KHH0058 (middle tier) shifted 3.23 kWh of schedulable load to off-peak hours and curtailed 0.41 kWh of curtailable load during the 17:00-23:00 peak, earning a rebate of 1.2 BDT. Critical appliances were not affected. The day-ahead BiGRU+BiLSTM forecast projected a substation peak of 124.0 MW, which triggered the demand-response window.",DrEvent
DR_KAL_00044,2024-04-30,Kalyanpur,DR_CURTAIL+SHIFT,3.231,0.416,0.6,0.8271,766.7,158.8,0.7928,126.25,132.0,-5.75,117.94,1.25,41.1,1.0,0.7,"On 2024-04-30, a high-impact event (GCS=0.83) at Kalyanpur substation passed the Priority Pool filter. Household KHH0058 (middle tier) shifted 3.23 kWh of schedulable load to off-peak hours and curtailed 0.42 kWh of curtailable load during the 17:00-23:00 peak, earning a rebate of 1.2 BDT. Critical appliances were not affected. The day-ahead BiGRU+BiLSTM forecast projected a substation peak of 126.2 MW, which triggered the demand-response window.",DrEvent
