:START_ID,:END_ID,:TYPE,monthly_kwh_est
USER_KHH0038,SLAB_3,SUBJECT_TO,87.8
USER_KHH0039,SLAB_3,SUBJECT_TO,141.8
USER_KHH0040,SLAB_3,SUBJECT_TO,100.0
USER_KHH0041,SLAB_7,SUBJECT_TO,200.4
USER_KHH0042,SLAB_3,SUBJECT_TO,162.9
USER_KHH0043,SLAB_4,SUBJECT_TO,245.0
USER_KHH0044,SLAB_3,SUBJECT_TO,162.8
USER_KHH0045,SLAB_4,SUBJECT_TO,224.5
USER_KHH0046,SLAB_4,SUBJECT_TO,298.8
USER_KHH0047,SLAB_4,SUBJECT_TO,271.1
USER_KHH0048,SLAB_4,SUBJECT_TO,272.3
USER_KHH0049,SLAB_5,SUBJECT_TO,340.0
USER_KHH0050,SLAB_5,SUBJECT_TO,352.7
USER_KHH0051,SLAB_4,SUBJECT_TO,227.9
USER_KHH0052,SLAB_4,SUBJECT_TO,236.2
USER_KHH0053,SLAB_5,SUBJECT_TO,334.8
USER_KHH0054,SLAB_4,SUBJECT_TO,211.4
USER_KHH0055,SLAB_6,SUBJECT_TO,492.1
USER_KHH0056,SLAB_6,SUBJECT_TO,450.9
USER_KHH0057,SLAB_4,SUBJECT_TO,223.8
USER_KHH0058,SLAB_4,SUBJECT_TO,288.0
USER_KHH0059,SLAB_3,SUBJECT_TO,151.2
USER_KHH0060,SLAB_4,SUBJECT_TO,266.9
USER_KHH0061,SLAB_6,SUBJECT_TO,459.5
USER_KHH0062,SLAB_3,SUBJECT_TO,144.1
USER_KHH0063,SLAB_3,SUBJECT_TO,197.9
USER_KHH0064,SLAB_4,SUBJECT_TO,208.0
USER_KHH0065,SLAB_4,SUBJECT_TO,228.2
USER_KHH0066,SLAB_3,SUBJECT_TO,171.0
USER_KHH0067,SLAB_4,SUBJECT_TO,253.2
USER_KHH0068,SLAB_5,SUBJECT_TO,318.2
USER_KHH0069,SLAB_4,SUBJECT_TO,250.3
USER_KHH0070,SLAB_4,SUBJECT_TO,245.0
USER_KHH0071,SLAB_3,SUBJECT_TO,169.9
USER_KHH0072,SLAB_4,SUBJECT_TO,279.9
USER_KHH0073,SLAB_4,SUBJECT_TO,219.8
USER_KHH0074,SLAB_4,SUBJECT_TO,244.1
USER_KHH0075,SLAB_5,SUBJECT_TO,337.3
USER_KHH0076,SLAB_3,SUBJECT_TO,185.1
USER_KHH0077,SLAB_4,SUBJECT_TO,240.8
USER_KHH0078,SLAB_3,SUBJECT_TO,187.2
USER_KHH0079,SLAB_5,SUBJECT_TO,369.1
USER_KHH0080,SLAB_6,SUBJECT_TO,522.3
USER_KHH0081,SLAB_3,SUBJECT_TO,185.5
USER_KHH0082,SLAB_5,SUBJECT_TO,349.7
USER_KHH0083,SLAB_5,SUBJECT_TO,301.7
USER_KHH0084,SLAB_6,SUBJECT_TO,405.0
USER_KHH0085,SLAB_4,SUBJECT_TO,204.9
USER_KHH0086,SLAB_5,SUBJECT_TO,343.1
USER_KHH0087,SLAB_4,SUBJECT_TO,298.8
USER_KHH0088,SLAB_3,SUBJECT_TO,192.8
USER_KHH0089,SLAB_4,SUBJECT_TO,257.7
USER_KHH0090,SLAB_7,SUBJECT_TO,615.6
USER_KHH0091,SLAB_5,SUBJECT_TO,353.6
USER_KHH0092,SLAB_7,SUBJECT_TO,300.4
USER_KHH0093,SLAB_7,SUBJECT_TO,300.7
USER_KHH0094,SLAB_5,SUBJECT_TO,357.1
USER_KHH0095,SLAB_3,SUBJECT_TO,168.8
USER_KHH0096,SLAB_4,SUBJECT_TO,244.3
USER_KHH0097,SLAB_3,SUBJECT_TO,188.2
USER_KHH0098,SLAB_5,SUBJECT_TO,336.3
USER_KHH0099,SLAB_4,SUBJECT_TO,293.4
USER_KHH0100,SLAB_4,SUBJECT_TO,223.6
USER_KHH0101,SLAB_4,SUBJECT_TO,248.9
USER_KHH0102,SLAB_3,SUBJECT_TO,198.3
USER_KHH0103,SLAB_7,SUBJECT_TO,786.1
USER_KHH0104,SLAB_7,SUBJECT_TO,877.1
USER_KHH0105,SLAB_7,SUBJECT_TO,636.0
USER_KHH0106,SLAB_6,SUBJECT_TO,474.6
USER_KHH0107,SLAB_5,SUBJECT_TO,379.2
USER_KHH0108,SLAB_6,SUBJECT_TO,406.1
USER_KHH0109,SLAB_5,SUBJECT_TO,394.3
USER_KHH0110,SLAB_6,SUBJECT_TO,506.1
USER_KHH0111,SLAB_6,SUBJECT_TO,576.8
USER_KHH0112,SLAB_5,SUBJECT_TO,335.6
USER_KHH0113,SLAB_4,SUBJECT_TO,278.4
USER_KHH0114,SLAB_6,SUBJECT_TO,415.8
USER_KHH0115,SLAB_7,SUBJECT_TO,752.0
USER_KHH0116,SLAB_6,SUBJECT_TO,584.9
USER_KHH0117,SLAB_6,SUBJECT_TO,530.1
USER_KHH0118,SLAB_7,SUBJECT_TO,663.2
USER_KHH0119,SLAB_7,SUBJECT_TO,776.8
USER_KHH0120,SLAB_7,SUBJECT_TO,711.4
USER_DHH0001,SLAB_3,SUBJECT_TO,156.2
USER_DHH0002,SLAB_3,SUBJECT_TO,123.5
USER_DHH0003,SLAB_3,SUBJECT_TO,139.7
USER_DHH0004,SLAB_3,SUBJECT_TO,197.6
USER_DHH0005,SLAB_3,SUBJECT_TO,151.4
USER_DHH0006,SLAB_3,SUBJECT_TO,152.9
USER_DHH0007,SLAB_3,SUBJECT_TO,169.4
USER_DHH0008,SLAB_3,SUBJECT_TO,155.8
USER_DHH0009,SLAB_3,SUBJECT_TO,169.7
USER_DHH0010,SLAB_3,SUBJECT_TO,163.3
USER_DHH0011,SLAB_3,SUBJECT_TO,151.0
USER_DHH0012,SLAB_3,SUBJECT_TO,126.8
USER_DHH0013,SLAB_3,SUBJECT_TO,109.6
USER_DHH0014,SLAB_7,SUBJECT_TO,75.2
USER_DHH0015,SLAB_4,SUBJECT_TO,225.7
USER_DHH0016,SLAB_6,SUBJECT_TO,425.2
USER_DHH0017,SLAB_4,SUBJECT_TO,249.7
USER_DHH0018,SLAB_4,SUBJECT_TO,221.4
USER_DHH0019,SLAB_3,SUBJECT_TO,183.7
USER_DHH0020,SLAB_3,SUBJECT_TO,106.9
USER_DHH0021,SLAB_4,SUBJECT_TO,273.6
USER_DHH0022,SLAB_3,SUBJECT_TO,125.7
USER_DHH0023,SLAB_5,SUBJECT_TO,320.8
USER_DHH0024,SLAB_5,SUBJECT_TO,377.5
USER_DHH0025,SLAB_4,SUBJECT_TO,286.3
USER_DHH0026,SLAB_3,SUBJECT_TO,168.1
USER_DHH0027,SLAB_5,SUBJECT_TO,355.8
USER_DHH0028,SLAB_4,SUBJECT_TO,205.5
USER_DHH0029,SLAB_5,SUBJECT_TO,399.5
USER_DHH0030,SLAB_4,SUBJECT_TO,206.5
USER_DHH0031,SLAB_4,SUBJECT_TO,229.2
USER_DHH0032,SLAB_4,SUBJECT_TO,220.6
USER_DHH0033,SLAB_6,SUBJECT_TO,419.1
USER_DHH0034,SLAB_4,SUBJECT_TO,255.6
USER_DHH0035,SLAB_5,SUBJECT_TO,332.3
USER_DHH0036,SLAB_3,SUBJECT_TO,187.7
USER_DHH0037,SLAB_4,SUBJECT_TO,207.3
USER_DHH0038,SLAB_5,SUBJECT_TO,361.7
USER_DHH0039,SLAB_5,SUBJECT_TO,336.3
USER_DHH0040,SLAB_5,SUBJECT_TO,311.2
USER_DHH0041,SLAB_4,SUBJECT_TO,269.1
USER_DHH0042,SLAB_5,SUBJECT_TO,357.8
USER_DHH0043,SLAB_4,SUBJECT_TO,218.9
USER_DHH0044,SLAB_5,SUBJECT_TO,309.5
USER_DHH0045,SLAB_4,SUBJECT_TO,203.8
USER_DHH0046,SLAB_5,SUBJECT_TO,308.5
USER_DHH0047,SLAB_5,SUBJECT_TO,301.5
USER_DHH0048,SLAB_5,SUBJECT_TO,329.9
USER_DHH0049,SLAB_4,SUBJECT_TO,236.1
USER_DHH0050,SLAB_4,SUBJECT_TO,218.9
USER_DHH0051,SLAB_5,SUBJECT_TO,338.1
USER_DHH0052,SLAB_3,SUBJECT_TO,181.2
USER_DHH0053,SLAB_6,SUBJECT_TO,415.7
USER_DHH0054,SLAB_3,SUBJECT_TO,175.5
USER_DHH0055,SLAB_4,SUBJECT_TO,204.4
USER_DHH0056,SLAB_4,SUBJECT_TO,225.3
USER_DHH0057,SLAB_4,SUBJECT_TO,253.0
USER_DHH0058,SLAB_4,SUBJECT_TO,249.4
USER_DHH0059,SLAB_4,SUBJECT_TO,258.5
USER_DHH0060,SLAB_7,SUBJECT_TO,400.4
USER_DHH0061,SLAB_3,SUBJECT_TO,157.3
USER_DHH0062,SLAB_3,SUBJECT_TO,164.7
USER_DHH0063,SLAB_3,SUBJECT_TO,138.6
USER_DHH0064,SLAB_5,SUBJECT_TO,358.2
USER_DHH0065,SLAB_3,SUBJECT_TO,192.1
USER_DHH0066,SLAB_4,SUBJECT_TO,212.7
USER_DHH0067,SLAB_5,SUBJECT_TO,398.3
USER_DHH0068,SLAB_6,SUBJECT_TO,435.6
USER_DHH0069,SLAB_7,SUBJECT_TO,767.6
USER_DHH0070,SLAB_7,SUBJECT_TO,664.4
USER_DHH0071,SLAB_7,SUBJECT_TO,675.2
USER_DHH0072,SLAB_7,SUBJECT_TO,777.7
USER_DHH0073,SLAB_6,SUBJECT_TO,455.5
USER_DHH0074,SLAB_6,SUBJECT_TO,520.0
USER_DHH0075,SLAB_6,SUBJECT_TO,561.9
USER_DHH0076,SLAB_6,SUBJECT_TO,413.2
USER_DHH0077,SLAB_7,SUBJECT_TO,683.0
USER_DHH0078,SLAB_7,SUBJECT_TO,1012.9
USER_DHH0079,SLAB_6,SUBJECT_TO,541.3
USER_DHH0080,SLAB_7,SUBJECT_TO,616.1
USER_DHH0081,SLAB_6,SUBJECT_TO,488.0
USER_DHH0082,SLAB_7,SUBJECT_TO,1206.4
USER_DHH0083,SLAB_6,SUBJECT_TO,446.8
USER_DHH0084,SLAB_7,SUBJECT_TO,980.8
USER_DHH0085,SLAB_7,SUBJECT_TO,755.5
USER_DHH0086,SLAB_7,SUBJECT_TO,650.0
USER_DHH0087,SLAB_5,SUBJECT_TO,395.4
USER_DHH0088,SLAB_6,SUBJECT_TO,573.4
USER_DHH0089,SLAB_6,SUBJECT_TO,562.2
USER_DHH0090,SLAB_7,SUBJECT_TO,790.0
USER_DHH0091,SLAB_7,SUBJECT_TO,775.3
USER_DHH0092,SLAB_7,SUBJECT_TO,857.4
USER_DHH0093,SLAB_7,SUBJECT_TO,918.3
USER_DHH0094,SLAB_6,SUBJECT_TO,531.6
USER_DHH0095,SLAB_6,SUBJECT_TO,418.3
USER_DHH0096,SLAB_6,SUBJECT_TO,492.8
USER_DHH0097,SLAB_7,SUBJECT_TO,745.3
USER_DHH0098,SLAB_6,SUBJECT_TO,450.5
USER_DHH0099,SLAB_6,SUBJECT_TO,493.6
USER_DHH0100,SLAB_6,SUBJECT_TO,539.0
USER_DHH0101,SLAB_7,SUBJECT_TO,669.0
USER_DHH0102,SLAB_7,SUBJECT_TO,757.1
USER_DHH0103,SLAB_6,SUBJECT_TO,460.1
USER_DHH0104,SLAB_6,SUBJECT_TO,586.0
USER_DHH0105,SLAB_6,SUBJECT_TO,490.7
USER_DHH0106,SLAB_7,SUBJECT_TO,667.9
USER_DHH0107,SLAB_6,SUBJECT_TO,542.0
USER_DHH0108,SLAB_6,SUBJECT_TO,541.1
USER_DHH0109,SLAB_7,SUBJECT_TO,674.7
USER_DHH0110,SLAB_7,SUBJECT_TO,965.4
USER_DHH0111,SLAB_6,SUBJECT_TO,578.3
USER_DHH0112,SLAB_7,SUBJECT_TO,684.4
USER_DHH0113,SLAB_6,SUBJECT_TO,424.1
USER_DHH0114,SLAB_5,SUBJECT_TO,306.4
USER_DHH0115,SLAB_7,SUBJECT_TO,703.6
USER_DHH0116,SLAB_6,SUBJECT_TO,474.9
USER_DHH0117,SLAB_6,SUBJECT_TO,509.1
USER_DHH0118,SLAB_7,SUBJECT_TO,844.8
USER_DHH0119,SLAB_7,SUBJECT_TO,824.1
USER_DHH0120,SLAB_6,SUBJECT_TO,431.9
