timestamp,household_id,substation,tier,tou_period,tou_multiplier,tou_rate_bdt_kwh,predicted_load_w,optimised_load_w,power_deviation_w,power_deviation_ratio,price_multiplier_norm,appliance_alpha,molp_alpha,action_taken,is_stress_day,energy_shifted_kwh,energy_curtailed_kwh,substation_pred_peak_mw,gcs_score
2024-06-06,KHH0035,Kalyanpur,lower_middle,peak,1.35,9.72,248.0,79.2,168.8,0.6806,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.859,0.153,122.29,0.7822
2024-05-19,KHH0035,Kalyanpur,lower_middle,peak,1.35,9.72,237.6,76.1,161.4,0.6796,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.846,0.123,125.96,0.7818
2026-05-25,KHH0003,Kalyanpur,lower_middle,peak,1.35,9.72,310.7,101.4,209.3,0.6735,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.882,0.374,118.36,0.7794
2024-06-14,KHH0003,Kalyanpur,lower_middle,peak,1.35,9.72,319.2,104.6,214.6,0.6723,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.902,0.386,121.43,0.7789
2024-09-19,KHH0003,Kalyanpur,lower_middle,peak,1.35,9.72,277.0,91.1,185.9,0.6712,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.816,0.3,119.84,0.7785
2026-06-08,KHH0035,Kalyanpur,lower_middle,peak,1.35,9.72,212.1,70.1,142.0,0.6694,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.745,0.107,120.79,0.7778
2026-06-21,KHH0003,Kalyanpur,lower_middle,peak,1.35,9.72,323.4,107.1,216.3,0.6688,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.877,0.421,119.32,0.7775
2024-05-03,KHH0003,Kalyanpur,lower_middle,peak,1.35,9.72,302.4,100.5,201.8,0.6675,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.841,0.37,123.21,0.777
2024-05-04,DHH0020,Dhanmondi,middle,peak,1.35,9.72,270.8,90.4,180.5,0.6663,1.0,0.7,0.6,DR_CURTAIL+SHIFT,1,0.811,0.272,163.31,0.7765
2024-05-21,KHH0035,Kalyanpur,lower_middle,peak,1.35,9.72,225.3,75.4,149.9,0.6652,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.777,0.123,121.66,0.7761
2026-05-23,KHH0003,Kalyanpur,lower_middle,peak,1.35,9.72,291.7,98.2,193.5,0.6634,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.806,0.355,123.03,0.7754
2026-06-16,KHH0035,Kalyanpur,lower_middle,peak,1.35,9.72,218.2,73.6,144.6,0.6626,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.745,0.123,119.32,0.775
2026-06-19,KHH0035,Kalyanpur,lower_middle,peak,1.35,9.72,204.3,69.1,135.2,0.6618,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.719,0.092,119.32,0.7747
2026-06-20,KHH0003,Kalyanpur,lower_middle,peak,1.35,9.72,305.2,104.3,200.9,0.6583,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.795,0.41,119.32,0.7733
2024-05-24,KHH0035,Kalyanpur,lower_middle,peak,1.35,9.72,239.5,81.9,157.6,0.6579,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.777,0.169,126.1,0.7732
2024-05-27,KHH0035,Kalyanpur,lower_middle,peak,1.35,9.72,198.2,67.8,130.4,0.6579,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.706,0.077,120.18,0.7732
2026-06-22,KHH0035,Kalyanpur,lower_middle,peak,1.35,9.72,209.4,71.7,137.8,0.6578,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.719,0.107,119.32,0.7731
2025-05-17,DHH0020,Dhanmondi,middle,peak,1.35,9.72,282.3,96.9,185.4,0.6568,1.0,0.7,0.6,DR_CURTAIL+SHIFT,1,0.811,0.301,154.52,0.7727
2026-06-10,KHH0003,Kalyanpur,lower_middle,peak,1.35,9.72,267.5,91.8,175.6,0.6567,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.734,0.319,119.86,0.7727
2026-06-13,KHH0035,Kalyanpur,lower_middle,peak,1.35,9.72,225.8,77.5,148.2,0.6566,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.751,0.138,119.32,0.7726
2024-06-07,KHH0003,Kalyanpur,lower_middle,peak,1.35,9.72,296.7,102.4,194.3,0.6548,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.775,0.391,122.12,0.7719
2024-06-10,KHH0003,Kalyanpur,lower_middle,peak,1.35,9.72,300.9,104.2,196.8,0.6539,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.775,0.405,120.55,0.7716
2024-05-16,KHH0035,Kalyanpur,lower_middle,peak,1.35,9.72,212.9,73.7,139.2,0.6538,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.713,0.123,124.39,0.7715
2024-06-10,KHH0035,Kalyanpur,lower_middle,peak,1.35,9.72,229.1,79.5,149.7,0.6532,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.745,0.153,120.55,0.7713
2025-07-27,DHH0020,Dhanmondi,middle,peak,1.35,9.72,280.6,97.5,183.1,0.6526,1.0,0.7,0.6,DR_CURTAIL+SHIFT,1,0.793,0.306,144.81,0.771
2026-06-21,KHH0035,Kalyanpur,lower_middle,peak,1.35,9.72,227.3,79.1,148.2,0.6521,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.751,0.138,119.32,0.7708
2025-08-12,DHH0020,Dhanmondi,middle,peak,1.35,9.72,277.7,96.8,180.9,0.6514,1.0,0.7,0.6,DR_CURTAIL+SHIFT,1,0.793,0.292,143.48,0.7706
2024-05-15,KHH0035,Kalyanpur,lower_middle,peak,1.35,9.72,229.8,80.2,149.7,0.6512,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.745,0.153,120.08,0.7705
2024-06-05,KHH0035,Kalyanpur,lower_middle,peak,1.35,9.72,212.5,74.5,138.1,0.6497,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.706,0.123,120.89,0.7699
2024-05-25,KHH0003,Kalyanpur,lower_middle,peak,1.35,9.72,313.3,109.8,203.6,0.6497,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.786,0.436,127.17,0.7699
2024-06-15,KHH0035,Kalyanpur,lower_middle,peak,1.35,9.72,228.3,80.0,148.2,0.6494,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.751,0.138,118.36,0.7698
2024-05-20,DHH0020,Dhanmondi,middle,peak,1.35,9.72,283.5,99.4,184.0,0.6492,1.0,0.7,0.6,DR_CURTAIL+SHIFT,1,0.793,0.311,152.98,0.7697
2024-06-03,KHH0003,Kalyanpur,lower_middle,peak,1.35,9.72,273.1,95.8,177.3,0.6493,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.714,0.349,121.41,0.7697
2024-05-21,KHH0003,Kalyanpur,lower_middle,peak,1.35,9.72,275.9,97.0,178.9,0.6485,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.714,0.359,121.66,0.7694
2026-04-24,KHH0003,Kalyanpur,lower_middle,peak,1.35,9.72,290.6,102.2,188.4,0.6484,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.775,0.355,122.77,0.7694
2024-06-02,KHH0035,Kalyanpur,lower_middle,peak,1.35,9.72,227.0,79.9,147.1,0.6479,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.745,0.138,123.48,0.7692
2024-05-04,KHH0035,Kalyanpur,lower_middle,peak,1.35,9.72,229.3,80.8,148.6,0.6478,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.738,0.153,125.41,0.7691
2026-06-22,KHH0003,Kalyanpur,lower_middle,peak,1.35,9.72,292.6,103.2,189.4,0.6474,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.734,0.402,119.32,0.769
2024-05-26,KHH0003,Kalyanpur,lower_middle,peak,1.35,9.72,305.4,107.7,197.8,0.6475,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.765,0.422,126.78,0.769
2024-06-03,KHH0035,Kalyanpur,lower_middle,peak,1.35,9.72,218.9,77.1,141.8,0.6476,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.713,0.138,121.41,0.769
2025-09-07,DHH0020,Dhanmondi,middle,peak,1.35,9.72,283.3,100.0,183.3,0.647,1.0,0.7,0.6,DR_CURTAIL+SHIFT,1,0.793,0.307,144.69,0.7688
2026-06-15,KHH0003,Kalyanpur,lower_middle,peak,1.35,9.72,309.9,109.4,200.5,0.647,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.775,0.428,119.32,0.7688
2024-05-24,DHH0020,Dhanmondi,middle,peak,1.35,9.72,301.3,106.6,194.7,0.6462,1.0,0.7,0.6,DR_CURTAIL+SHIFT,1,0.811,0.357,143.57,0.7685
2024-09-21,KHH0003,Kalyanpur,lower_middle,peak,1.35,9.72,272.0,96.3,175.7,0.6459,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.714,0.34,122.61,0.7684
2024-05-05,KHH0003,Kalyanpur,lower_middle,peak,1.35,9.72,280.8,99.6,181.1,0.6451,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.704,0.383,124.22,0.768
2024-05-20,KHH0035,Kalyanpur,lower_middle,peak,1.35,9.72,220.3,78.5,141.8,0.6436,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.713,0.138,122.26,0.7674
2024-05-04,KHH0003,Kalyanpur,lower_middle,peak,1.35,9.72,300.3,107.7,192.6,0.6414,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.745,0.411,125.41,0.7666
2024-06-09,KHH0009,Kalyanpur,lower_middle,peak,1.35,7.101,238.6,85.6,152.9,0.6411,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.562,0.355,123.0,0.7664
2026-05-24,KHH0035,Kalyanpur,lower_middle,peak,1.35,9.72,225.2,80.9,144.3,0.6409,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.713,0.153,123.8,0.7664
2024-09-23,KHH0003,Kalyanpur,lower_middle,peak,1.35,9.72,276.0,99.4,176.6,0.6398,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.704,0.355,121.66,0.7659
2025-05-11,KHH0035,Kalyanpur,lower_middle,peak,1.35,9.72,207.6,74.8,132.8,0.6396,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.674,0.123,120.34,0.7658
2026-06-12,KHH0003,Kalyanpur,lower_middle,peak,1.35,9.72,253.6,91.5,162.1,0.6392,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.649,0.324,119.13,0.7657
2024-05-06,DHH0008,Dhanmondi,lower_middle,peak,1.35,9.72,398.7,144.0,254.6,0.6387,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,1.128,0.4,148.17,0.7655
2026-05-20,KHH0003,Kalyanpur,lower_middle,peak,1.35,9.72,293.1,106.1,187.0,0.6379,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.704,0.418,118.13,0.7652
2026-04-23,KHH0035,Kalyanpur,lower_middle,peak,1.35,9.72,238.9,86.5,152.5,0.6381,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.777,0.138,121.24,0.7652
2026-06-18,KHH0009,Kalyanpur,lower_middle,peak,1.35,7.101,223.6,81.1,142.5,0.6373,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.532,0.323,119.32,0.7649
2024-05-13,DHH0008,Dhanmondi,lower_middle,peak,1.35,9.72,421.8,153.0,268.8,0.6373,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,1.163,0.45,148.77,0.7649
2024-04-06,DHH0020,Dhanmondi,middle,peak,1.35,9.72,284.6,104.0,180.6,0.6345,1.0,0.7,0.6,DR_CURTAIL+SHIFT,1,0.757,0.326,146.79,0.7638
2025-05-31,DHH0020,Dhanmondi,middle,peak,1.35,9.72,242.9,89.0,153.9,0.6336,1.0,0.7,0.6,DR_CURTAIL+SHIFT,1,0.667,0.256,147.66,0.7634
2025-06-22,DHH0008,Dhanmondi,lower_middle,peak,1.35,9.72,433.0,158.8,274.2,0.6332,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,1.163,0.482,147.2,0.7633
2025-05-11,DHH0008,Dhanmondi,lower_middle,peak,1.35,9.72,435.9,160.3,275.7,0.6324,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,1.163,0.491,157.27,0.763
2024-09-21,DHH0020,Dhanmondi,middle,peak,1.35,9.72,310.8,114.2,196.6,0.6325,1.0,0.7,0.6,DR_CURTAIL+SHIFT,1,0.793,0.386,145.98,0.763
2024-05-12,DHH0008,Dhanmondi,lower_middle,peak,1.35,9.72,437.2,161.3,275.9,0.631,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,1.163,0.492,146.72,0.7624
2024-05-19,KHH0003,Kalyanpur,lower_middle,peak,1.35,9.72,306.0,112.9,193.1,0.631,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.714,0.444,125.96,0.7624
2024-05-05,KHH0035,Kalyanpur,lower_middle,peak,1.35,9.72,202.4,74.7,127.7,0.6307,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.643,0.123,124.22,0.7623
2024-05-15,KHH0003,Kalyanpur,lower_middle,peak,1.35,9.72,273.0,101.2,171.7,0.6291,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.649,0.382,120.08,0.7616
2025-08-11,DHH0020,Dhanmondi,middle,peak,1.35,9.72,243.9,90.4,153.4,0.6291,1.0,0.7,0.6,DR_CURTAIL+SHIFT,1,0.649,0.272,147.98,0.7616
2024-05-05,KHH0009,Kalyanpur,lower_middle,peak,1.35,7.101,214.9,79.8,135.1,0.6287,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.501,0.309,124.22,0.7615
2026-06-11,KHH0003,Kalyanpur,lower_middle,peak,1.35,9.72,274.8,102.1,172.7,0.6285,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.649,0.388,119.95,0.7614
2024-06-03,DHH0020,Dhanmondi,middle,peak,1.35,9.72,251.1,93.3,157.8,0.6283,1.0,0.7,0.6,DR_CURTAIL+SHIFT,1,0.667,0.28,153.6,0.7613
2026-06-14,KHH0009,Kalyanpur,lower_middle,peak,1.35,7.101,224.9,83.8,141.1,0.6275,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.501,0.345,119.32,0.761
2024-04-30,KHH0003,Kalyanpur,lower_middle,peak,1.35,9.72,305.0,113.8,191.2,0.6269,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.714,0.433,122.93,0.7608
2026-06-14,KHH0069,Kalyanpur,middle,peak,1.35,10.247,760.6,283.8,476.8,0.6268,1.0,0.7,0.6,DR_CURTAIL+SHIFT,1,2.069,0.792,119.32,0.7607
2026-04-25,KHH0035,Kalyanpur,lower_middle,peak,1.35,9.72,241.5,90.3,151.1,0.6258,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.738,0.169,122.6,0.7603
2024-06-02,KHH0003,Kalyanpur,lower_middle,peak,1.35,9.72,253.3,94.9,158.4,0.6255,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.608,0.343,123.48,0.7602
2024-04-06,DHH0008,Dhanmondi,lower_middle,peak,1.35,9.72,477.2,179.2,298.0,0.6245,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,1.228,0.56,146.79,0.7598
2024-05-09,KHH0066,Kalyanpur,middle,peak,1.35,9.72,441.1,165.9,275.2,0.6239,1.0,0.7,0.6,DR_CURTAIL+SHIFT,1,1.352,0.299,118.7,0.7596
2025-05-11,KHH0003,Kalyanpur,lower_middle,peak,1.35,9.72,282.8,106.4,176.5,0.6239,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.649,0.41,120.34,0.7596
2025-07-26,DHH0045,Dhanmondi,middle,peak,1.35,10.247,573.2,215.5,357.7,0.624,1.0,0.7,0.6,DR_CURTAIL+SHIFT,1,1.843,0.303,143.04,0.7596
2024-05-31,KHH0003,Kalyanpur,lower_middle,peak,1.35,9.72,288.5,108.5,179.9,0.6237,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.649,0.431,123.43,0.7595
2026-06-23,KHH0035,Kalyanpur,lower_middle,peak,1.35,9.72,198.4,74.6,123.8,0.6238,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.604,0.138,119.32,0.7595
2026-06-14,KHH0035,Kalyanpur,lower_middle,peak,1.35,9.72,196.1,73.8,122.3,0.6236,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.611,0.123,119.32,0.7594
2024-05-22,KHH0035,Kalyanpur,lower_middle,peak,1.35,9.72,204.5,77.0,127.4,0.6232,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.611,0.153,122.77,0.7593
2024-05-26,KHH0066,Kalyanpur,middle,peak,1.35,9.72,481.3,181.7,299.7,0.6226,1.0,0.7,0.6,DR_CURTAIL+SHIFT,1,1.436,0.362,126.78,0.759
2025-06-22,DHH0020,Dhanmondi,middle,peak,1.35,9.72,265.5,100.4,165.1,0.6218,1.0,0.7,0.6,DR_CURTAIL+SHIFT,1,0.667,0.324,147.2,0.7587
2025-05-10,KHH0035,Kalyanpur,lower_middle,peak,1.35,9.72,194.9,73.7,121.2,0.6218,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.604,0.123,118.46,0.7587
2024-04-06,DHH0059,Dhanmondi,middle,peak,1.35,10.247,843.5,319.0,524.5,0.6218,1.0,0.7,0.6,DR_CURTAIL+SHIFT,1,2.288,0.859,146.79,0.7587
2024-06-14,KHH0009,Kalyanpur,lower_middle,peak,1.35,7.101,226.3,85.7,140.6,0.6214,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.501,0.342,121.43,0.7586
2024-05-19,DHH0020,Dhanmondi,middle,peak,1.35,9.72,265.9,100.8,165.1,0.6208,1.0,0.7,0.6,DR_CURTAIL+SHIFT,1,0.667,0.324,157.08,0.7583
2024-09-19,KHH0035,Kalyanpur,lower_middle,peak,1.35,9.72,217.5,82.5,135.0,0.6207,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.687,0.123,119.84,0.7583
2026-04-22,KHH0003,Kalyanpur,lower_middle,peak,1.35,9.72,306.5,116.2,190.3,0.6208,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.704,0.438,118.8,0.7583
2025-05-13,KHH0003,Kalyanpur,lower_middle,peak,1.35,9.72,271.4,103.2,168.2,0.6197,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.608,0.401,118.92,0.7579
2024-05-05,DHH0020,Dhanmondi,middle,peak,1.35,9.72,268.3,102.0,166.3,0.6198,1.0,0.7,0.6,DR_CURTAIL+SHIFT,1,0.667,0.331,157.81,0.7579
2024-06-06,KHH0069,Kalyanpur,middle,peak,1.35,10.247,771.7,293.7,478.0,0.6194,1.0,0.7,0.6,DR_CURTAIL+SHIFT,1,2.039,0.828,122.29,0.7578
2025-06-29,DHH0020,Dhanmondi,middle,peak,1.35,9.72,268.0,102.3,165.7,0.6184,1.0,0.7,0.6,DR_CURTAIL+SHIFT,1,0.667,0.327,144.47,0.7574
2026-05-21,KHH0035,Kalyanpur,lower_middle,peak,1.35,9.72,196.1,74.9,121.2,0.6182,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.604,0.123,120.38,0.7573
2024-05-27,KHH0042,Kalyanpur,lower_middle,peak,1.35,9.72,441.2,168.5,272.7,0.6181,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,1.272,0.364,120.18,0.7572
2025-05-05,DHH0020,Dhanmondi,middle,peak,1.35,9.72,264.3,101.0,163.3,0.6179,1.0,0.7,0.6,DR_CURTAIL+SHIFT,1,0.667,0.313,147.79,0.7572
2025-08-09,DHH0045,Dhanmondi,middle,peak,1.35,10.247,575.4,219.9,355.4,0.6178,1.0,0.7,0.6,DR_CURTAIL+SHIFT,1,1.792,0.341,143.04,0.7571
2026-06-27,KHH0042,Kalyanpur,lower_middle,peak,1.35,9.72,456.3,174.5,281.8,0.6176,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,1.259,0.432,119.32,0.757
2024-05-13,DHH0020,Dhanmondi,middle,peak,1.35,9.72,283.8,108.5,175.3,0.6176,1.0,0.7,0.6,DR_CURTAIL+SHIFT,1,0.685,0.367,148.77,0.757
2024-04-27,KHH0009,Kalyanpur,lower_middle,peak,1.35,7.101,250.8,96.0,154.8,0.6172,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.532,0.397,120.42,0.7569
2025-05-10,DHH0020,Dhanmondi,middle,peak,1.35,9.72,271.2,103.9,167.4,0.617,1.0,0.7,0.6,DR_CURTAIL+SHIFT,1,0.667,0.337,157.02,0.7568
2024-05-27,KHH0003,Kalyanpur,lower_middle,peak,1.35,9.72,186.6,71.7,114.9,0.6159,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.492,0.198,120.18,0.7564
2026-06-25,KHH0035,Kalyanpur,lower_middle,peak,1.35,9.72,196.8,75.6,121.2,0.616,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.604,0.123,119.32,0.7564
2026-05-25,KHH0009,Kalyanpur,lower_middle,peak,1.35,7.101,243.1,93.4,149.7,0.616,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.501,0.397,118.36,0.7564
2024-05-22,KHH0003,Kalyanpur,lower_middle,peak,1.35,9.72,251.6,96.8,154.8,0.6154,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.577,0.351,122.77,0.7562
2026-06-10,KHH0023,Kalyanpur,lower_middle,peak,1.35,9.72,334.0,128.4,205.6,0.6156,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.828,0.405,119.86,0.7562
2026-06-12,KHH0035,Kalyanpur,lower_middle,peak,1.35,9.72,175.8,67.6,108.2,0.6153,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.572,0.077,119.13,0.7561
2024-04-28,DHH0020,Dhanmondi,middle,peak,1.35,9.72,262.6,101.1,161.5,0.6151,1.0,0.7,0.6,DR_CURTAIL+SHIFT,1,0.667,0.302,152.51,0.756
2026-06-21,KHH0009,Kalyanpur,lower_middle,peak,1.35,7.101,228.4,87.9,140.5,0.615,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.475,0.368,119.32,0.756
2026-06-17,KHH0052,Kalyanpur,middle,peak,1.35,10.247,788.2,304.3,483.9,0.614,1.0,0.7,0.6,DR_CURTAIL+SHIFT,1,1.483,1.421,119.32,0.7556
2025-08-09,DHH0020,Dhanmondi,middle,peak,1.35,9.72,200.8,77.5,123.3,0.6141,1.0,0.7,0.6,DR_CURTAIL+SHIFT,1,0.559,0.181,143.04,0.7556
2024-05-03,KHH0023,Kalyanpur,lower_middle,peak,1.35,9.72,342.8,132.4,210.5,0.6139,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.828,0.434,123.21,0.7556
2026-05-24,KHH0003,Kalyanpur,lower_middle,peak,1.35,9.72,285.5,110.3,175.2,0.6135,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.618,0.433,123.8,0.7554
2024-05-06,KHH0009,Kalyanpur,lower_middle,peak,1.35,7.101,161.7,62.5,99.2,0.6134,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.384,0.212,118.04,0.7554
2025-06-01,DHH0045,Dhanmondi,middle,peak,1.35,10.247,575.7,222.5,353.2,0.6135,1.0,0.7,0.6,DR_CURTAIL+SHIFT,1,1.782,0.337,147.15,0.7554
2026-06-17,KHH0035,Kalyanpur,lower_middle,peak,1.35,9.72,190.8,73.9,117.0,0.613,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.579,0.123,119.32,0.7552
2025-04-12,DHH0020,Dhanmondi,middle,peak,1.35,9.72,258.0,99.9,158.1,0.6128,1.0,0.7,0.6,DR_CURTAIL+SHIFT,1,0.649,0.299,146.98,0.7551
2025-05-24,DHH0008,Dhanmondi,lower_middle,peak,1.35,9.72,415.2,161.0,254.3,0.6124,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,1.033,0.493,150.83,0.755
2025-04-28,DHH0020,Dhanmondi,middle,peak,1.35,9.72,250.0,96.9,153.1,0.6125,1.0,0.7,0.6,DR_CURTAIL+SHIFT,1,0.649,0.27,143.6,0.755
2025-08-03,DHH0008,Dhanmondi,lower_middle,peak,1.35,9.72,391.4,151.8,239.6,0.6122,1.0,0.7,0.8,DR_CURTAIL+SHIFT,1,0.997,0.441,144.16,0.7549
