household_id,substation,tier,alpha,baseline_cost_bdt,optimised_cost_bdt,saving_pct,energy_shifted_kwh,energy_curtailed_kwh,discomfort_bdt_eq,qoe_score
DHH0065,Dhanmondi,middle,0.6,45253.0,39063.0,13.68,624.9,367.0,5068.0,88.8
DHH0066,Dhanmondi,middle,0.6,53438.0,45960.0,13.99,778.9,397.7,5900.0,88.96
DHH0067,Dhanmondi,upper_middle,0.4,104589.0,104589.0,0.0,0.0,0.0,0.0,100.0
DHH0068,Dhanmondi,upper_middle,0.4,177217.0,177217.0,0.0,0.0,0.0,0.0,100.0
DHH0069,Dhanmondi,upper_middle,0.4,357665.0,348748.0,2.49,0.0,392.4,5494.0,98.46
DHH0070,Dhanmondi,upper_middle,0.4,309519.0,302824.0,2.16,0.0,294.6,4125.0,98.67
DHH0071,Dhanmondi,upper_middle,0.4,318191.0,311425.0,2.13,0.0,297.8,4169.0,98.69
DHH0072,Dhanmondi,upper_middle,0.4,364986.0,357076.0,2.17,0.0,348.1,4873.0,98.66
DHH0073,Dhanmondi,upper_middle,0.4,185303.0,185303.0,0.0,0.0,0.0,0.0,100.0
DHH0074,Dhanmondi,upper_middle,0.4,217358.0,217358.0,0.0,0.0,0.0,0.0,100.0
DHH0075,Dhanmondi,upper_middle,0.4,228180.0,228180.0,0.0,0.0,0.0,0.0,100.0
DHH0076,Dhanmondi,upper_middle,0.4,169191.0,169191.0,0.0,0.0,0.0,0.0,100.0
DHH0077,Dhanmondi,upper_middle,0.4,319168.0,311355.0,2.45,0.0,343.8,4814.0,98.49
DHH0078,Dhanmondi,upper_middle,0.4,470629.0,459069.0,2.46,0.0,508.7,7122.0,98.49
DHH0079,Dhanmondi,upper_middle,0.4,223572.0,223572.0,0.0,0.0,0.0,0.0,100.0
DHH0080,Dhanmondi,upper_middle,0.4,287869.0,280457.0,2.57,0.0,326.2,4566.0,98.41
DHH0081,Dhanmondi,upper_middle,0.4,199932.0,199932.0,0.0,0.0,0.0,0.0,100.0
DHH0082,Dhanmondi,upper_middle,0.4,559177.0,544640.0,2.6,0.0,639.7,8956.0,98.4
DHH0083,Dhanmondi,upper_middle,0.4,186049.0,186049.0,0.0,0.0,0.0,0.0,100.0
DHH0084,Dhanmondi,upper_middle,0.4,455477.0,443186.0,2.7,0.0,540.9,7573.0,98.34
DHH0085,Dhanmondi,upper_middle,0.4,351350.0,343150.0,2.33,0.0,360.9,5052.0,98.56
DHH0086,Dhanmondi,upper_middle,0.4,307917.0,300886.0,2.28,0.0,309.4,4332.0,98.59
DHH0087,Dhanmondi,upper_middle,0.4,102438.0,102438.0,0.0,0.0,0.0,0.0,100.0
DHH0088,Dhanmondi,upper_middle,0.4,233104.0,233104.0,0.0,0.0,0.0,0.0,100.0
DHH0089,Dhanmondi,upper_middle,0.4,228185.0,228185.0,0.0,0.0,0.0,0.0,100.0
DHH0090,Dhanmondi,upper_middle,0.4,365933.0,357828.0,2.21,0.0,356.7,4993.0,98.64
DHH0091,Dhanmondi,upper_middle,0.4,362312.0,353793.0,2.35,0.0,374.9,5249.0,98.55
DHH0092,Dhanmondi,upper_middle,0.4,397722.0,387795.0,2.5,0.0,436.8,6116.0,98.46
DHH0093,Dhanmondi,upper_middle,0.4,429415.0,419117.0,2.4,0.0,453.2,6345.0,98.52
DHH0094,Dhanmondi,upper_middle,0.4,216459.0,216459.0,0.0,0.0,0.0,0.0,100.0
DHH0095,Dhanmondi,upper_middle,0.4,173990.0,173990.0,0.0,0.0,0.0,0.0,100.0
DHH0096,Dhanmondi,upper_middle,0.4,203040.0,203040.0,0.0,0.0,0.0,0.0,100.0
DHH0097,Dhanmondi,upper_middle,0.4,350321.0,343544.0,1.93,0.0,298.2,4175.0,98.81
DHH0098,Dhanmondi,upper_middle,0.4,185210.0,185210.0,0.0,0.0,0.0,0.0,100.0
DHH0099,Dhanmondi,upper_middle,0.4,203553.0,203553.0,0.0,0.0,0.0,0.0,100.0
DHH0100,Dhanmondi,upper_middle,0.4,217563.0,217563.0,0.0,0.0,0.0,0.0,100.0
DHH0101,Dhanmondi,upper_middle,0.4,313252.0,305022.0,2.63,0.0,362.2,5070.0,98.38
DHH0102,Dhanmondi,upper_middle,0.4,352523.0,342850.0,2.74,0.0,425.7,5960.0,98.31
DHH0103,Dhanmondi,upper_middle,0.4,189280.0,189280.0,0.0,0.0,0.0,0.0,100.0
DHH0104,Dhanmondi,upper_middle,0.4,238750.0,238750.0,0.0,0.0,0.0,0.0,100.0
DHH0105,Dhanmondi,upper_middle,0.4,202522.0,202522.0,0.0,0.0,0.0,0.0,100.0
DHH0106,Dhanmondi,upper_middle,0.4,314323.0,307600.0,2.14,0.0,295.8,4142.0,98.68
DHH0107,Dhanmondi,upper_middle,0.4,219944.0,219944.0,0.0,0.0,0.0,0.0,100.0
DHH0108,Dhanmondi,upper_middle,0.4,220139.0,220139.0,0.0,0.0,0.0,0.0,100.0
DHH0109,Dhanmondi,upper_middle,0.4,315554.0,308507.0,2.23,0.0,310.1,4342.0,98.62
DHH0110,Dhanmondi,upper_middle,0.4,449720.0,438627.0,2.47,0.0,488.2,6835.0,98.48
DHH0111,Dhanmondi,upper_middle,0.4,234788.0,234788.0,0.0,0.0,0.0,0.0,100.0
DHH0112,Dhanmondi,upper_middle,0.4,325690.0,319633.0,1.86,0.0,266.5,3731.0,98.85
DHH0113,Dhanmondi,upper_middle,0.4,175039.0,175039.0,0.0,0.0,0.0,0.0,100.0
DHH0114,Dhanmondi,upper_middle,0.4,81225.0,81225.0,0.0,0.0,0.0,0.0,100.0
DHH0115,Dhanmondi,upper_middle,0.4,327127.0,319877.0,2.22,0.0,319.1,4467.0,98.63
DHH0116,Dhanmondi,upper_middle,0.4,196195.0,196195.0,0.0,0.0,0.0,0.0,100.0
DHH0117,Dhanmondi,upper_middle,0.4,209086.0,209086.0,0.0,0.0,0.0,0.0,100.0
DHH0118,Dhanmondi,upper_middle,0.4,394667.0,383770.0,2.76,0.0,479.6,6714.0,98.3
DHH0119,Dhanmondi,upper_middle,0.4,384564.0,375033.0,2.48,0.0,419.4,5872.0,98.47
DHH0120,Dhanmondi,upper_middle,0.4,179486.0,179486.0,0.0,0.0,0.0,0.0,100.0
