household_id,substation,tier,month,baseline_bill_bdt,optimised_bill_bdt,saving_bdt,saving_pct,energy_kwh,energy_shifted_kwh,energy_curtailed_kwh,discomfort_bdt_eq
DHH0034,Dhanmondi,middle,2024-01,1706.6,1591.7,114.8,6.73,207.2,20.75,2.76,102.3
DHH0035,Dhanmondi,middle,2024-01,1590.9,1406.2,184.8,11.61,177.2,24.69,7.01,147.8
DHH0036,Dhanmondi,middle,2024-01,1317.6,1176.4,141.2,10.72,164.2,17.11,7.56,121.4
DHH0037,Dhanmondi,middle,2024-01,1315.3,1186.0,129.3,9.83,158.1,11.46,7.95,101.5
DHH0038,Dhanmondi,middle,2024-01,1603.8,1477.8,125.9,7.85,183.9,21.64,2.82,106.3
DHH0039,Dhanmondi,middle,2024-01,1512.7,1311.6,201.1,13.29,168.0,34.43,4.54,169.5
DHH0040,Dhanmondi,middle,2024-01,1392.2,1208.8,183.4,13.17,152.9,31.58,4.07,154.8
DHH0041,Dhanmondi,middle,2024-01,1154.1,1006.5,147.6,12.79,135.5,19.93,6.28,123.7
DHH0042,Dhanmondi,middle,2024-01,2387.5,2107.6,279.8,11.72,271.3,33.55,12.18,219.4
DHH0043,Dhanmondi,middle,2024-01,1337.2,1242.8,94.4,7.06,158.4,12.22,4.24,78.5
DHH0044,Dhanmondi,middle,2024-01,1993.5,1733.9,259.6,13.02,219.7,33.03,10.52,205.8
DHH0045,Dhanmondi,middle,2024-01,1441.7,1258.8,183.0,12.69,167.2,37.32,2.65,167.8
DHH0046,Dhanmondi,middle,2024-01,1470.5,1268.2,202.3,13.76,164.9,15.36,12.43,148.4
DHH0047,Dhanmondi,middle,2024-01,1387.9,1227.5,160.4,11.55,155.4,21.96,5.86,128.9
DHH0048,Dhanmondi,middle,2024-01,1434.5,1364.9,69.7,4.86,166.1,8.55,2.95,54.9
DHH0049,Dhanmondi,middle,2024-01,1593.0,1420.1,172.9,10.85,189.1,22.81,7.58,144.3
DHH0050,Dhanmondi,middle,2024-01,1021.1,940.5,80.6,7.9,121.7,13.78,2.25,70.9
DHH0051,Dhanmondi,middle,2024-01,1592.7,1450.7,142.1,8.92,179.9,17.52,5.98,112.0
DHH0052,Dhanmondi,middle,2024-01,1094.9,999.7,95.2,8.69,138.3,12.01,4.9,82.3
DHH0053,Dhanmondi,middle,2024-01,3323.2,3064.3,258.9,7.79,239.3,18.83,7.46,127.6
DHH0054,Dhanmondi,middle,2024-01,983.2,941.9,41.3,4.2,127.2,1.85,3.5,31.9
DHH0055,Dhanmondi,middle,2024-01,1117.3,1038.1,79.3,7.09,134.2,12.37,2.7,68.3
DHH0056,Dhanmondi,middle,2024-01,1393.4,1234.8,158.6,11.38,167.4,21.67,6.65,133.2
DHH0057,Dhanmondi,middle,2024-01,1618.9,1488.0,130.9,8.08,195.3,19.82,4.7,112.2
DHH0058,Dhanmondi,middle,2024-01,1537.6,1367.9,169.7,11.04,182.2,28.45,4.97,148.6
DHH0059,Dhanmondi,middle,2024-01,1680.4,1482.3,198.1,11.79,199.8,29.37,7.37,169.0
DHH0060,Dhanmondi,middle,2024-01,4173.1,3771.8,401.3,9.62,260.9,43.72,2.53,192.6
DHH0061,Dhanmondi,middle,2024-01,949.5,851.9,97.6,10.28,119.9,10.85,5.62,82.8
DHH0062,Dhanmondi,middle,2024-01,1096.1,981.3,114.7,10.47,137.1,18.27,4.36,103.6
DHH0063,Dhanmondi,middle,2024-01,908.6,837.4,71.2,7.84,116.1,12.7,2.15,65.8
DHH0064,Dhanmondi,middle,2024-01,1721.9,1544.4,177.5,10.31,193.0,34.7,2.26,154.6
DHH0065,Dhanmondi,middle,2024-01,1073.7,971.1,102.6,9.56,136.5,17.75,3.32,94.3
DHH0066,Dhanmondi,middle,2024-01,1483.7,1311.4,172.3,11.61,175.8,25.28,6.51,146.7
DHH0067,Dhanmondi,upper_middle,2024-01,3377.0,3377.0,0.0,0.0,383.9,0.0,0.0,0.0
DHH0068,Dhanmondi,upper_middle,2024-01,3689.9,3689.9,0.0,0.0,267.3,0.0,0.0,0.0
DHH0069,Dhanmondi,upper_middle,2024-01,5478.1,5478.1,0.0,0.0,341.9,0.0,0.0,0.0
DHH0070,Dhanmondi,upper_middle,2024-01,4929.9,4929.9,0.0,0.0,311.2,0.0,0.0,0.0
DHH0071,Dhanmondi,upper_middle,2024-01,5552.9,5552.9,0.0,0.0,342.9,0.0,0.0,0.0
DHH0072,Dhanmondi,upper_middle,2024-01,5746.4,5746.4,0.0,0.0,358.3,0.0,0.0,0.0
DHH0073,Dhanmondi,upper_middle,2024-01,4029.1,4029.1,0.0,0.0,291.1,0.0,0.0,0.0
DHH0074,Dhanmondi,upper_middle,2024-01,5483.8,5483.8,0.0,0.0,388.3,0.0,0.0,0.0
DHH0075,Dhanmondi,upper_middle,2024-01,4542.9,4542.9,0.0,0.0,331.0,0.0,0.0,0.0
DHH0076,Dhanmondi,upper_middle,2024-01,3144.2,3144.2,0.0,0.0,225.1,0.0,0.0,0.0
DHH0077,Dhanmondi,upper_middle,2024-01,4291.6,4291.6,0.0,0.0,265.6,0.0,0.0,0.0
DHH0078,Dhanmondi,upper_middle,2024-01,6066.5,6066.5,0.0,0.0,380.2,0.0,0.0,0.0
DHH0079,Dhanmondi,upper_middle,2024-01,3944.0,3944.0,0.0,0.0,276.8,0.0,0.0,0.0
DHH0080,Dhanmondi,upper_middle,2024-01,3033.0,3033.0,0.0,0.0,185.8,0.0,0.0,0.0
DHH0081,Dhanmondi,upper_middle,2024-01,3082.9,3082.9,0.0,0.0,220.6,0.0,0.0,0.0
DHH0082,Dhanmondi,upper_middle,2024-01,5871.2,5871.2,0.0,0.0,365.2,0.0,0.0,0.0
DHH0083,Dhanmondi,upper_middle,2024-01,4550.0,4550.0,0.0,0.0,323.5,0.0,0.0,0.0
DHH0084,Dhanmondi,upper_middle,2024-01,5144.6,5144.6,0.0,0.0,322.2,0.0,0.0,0.0
DHH0085,Dhanmondi,upper_middle,2024-01,4832.4,4832.4,0.0,0.0,303.8,0.0,0.0,0.0
DHH0086,Dhanmondi,upper_middle,2024-01,4631.1,4631.1,0.0,0.0,283.7,0.0,0.0,0.0
DHH0087,Dhanmondi,upper_middle,2024-01,1988.5,1988.5,0.0,0.0,226.7,0.0,0.0,0.0
DHH0088,Dhanmondi,upper_middle,2024-01,4176.4,4176.4,0.0,0.0,300.4,0.0,0.0,0.0
DHH0089,Dhanmondi,upper_middle,2024-01,3481.5,3481.5,0.0,0.0,251.2,0.0,0.0,0.0
DHH0090,Dhanmondi,upper_middle,2024-01,4426.2,4426.2,0.0,0.0,281.1,0.0,0.0,0.0
DHH0091,Dhanmondi,upper_middle,2024-01,5460.7,5460.7,0.0,0.0,341.4,0.0,0.0,0.0
DHH0092,Dhanmondi,upper_middle,2024-01,5674.7,5674.7,0.0,0.0,359.9,0.0,0.0,0.0
DHH0093,Dhanmondi,upper_middle,2024-01,6295.6,6295.6,0.0,0.0,390.5,0.0,0.0,0.0
DHH0094,Dhanmondi,upper_middle,2024-01,3184.8,3184.8,0.0,0.0,228.2,0.0,0.0,0.0
DHH0095,Dhanmondi,upper_middle,2024-01,6380.8,6380.8,0.0,0.0,462.8,0.0,0.0,0.0
DHH0096,Dhanmondi,upper_middle,2024-01,5141.8,5141.8,0.0,0.0,372.0,0.0,0.0,0.0
DHH0097,Dhanmondi,upper_middle,2024-01,6488.5,6488.5,0.0,0.0,404.8,0.0,0.0,0.0
DHH0098,Dhanmondi,upper_middle,2024-01,3014.2,3014.2,0.0,0.0,212.8,0.0,0.0,0.0
DHH0099,Dhanmondi,upper_middle,2024-01,3840.4,3840.4,0.0,0.0,270.9,0.0,0.0,0.0
DHH0100,Dhanmondi,upper_middle,2024-01,4249.2,4249.2,0.0,0.0,312.3,0.0,0.0,0.0
DHH0101,Dhanmondi,upper_middle,2024-01,4493.5,4493.5,0.0,0.0,280.0,0.0,0.0,0.0
DHH0102,Dhanmondi,upper_middle,2024-01,3135.1,3135.1,0.0,0.0,193.7,0.0,0.0,0.0
DHH0103,Dhanmondi,upper_middle,2024-01,4140.0,4140.0,0.0,0.0,293.4,0.0,0.0,0.0
DHH0104,Dhanmondi,upper_middle,2024-01,4785.2,4785.2,0.0,0.0,344.7,0.0,0.0,0.0
DHH0105,Dhanmondi,upper_middle,2024-01,3424.5,3424.5,0.0,0.0,241.8,0.0,0.0,0.0
DHH0106,Dhanmondi,upper_middle,2024-01,5527.9,5527.9,0.0,0.0,343.6,0.0,0.0,0.0
DHH0107,Dhanmondi,upper_middle,2024-01,5043.8,5043.8,0.0,0.0,367.9,0.0,0.0,0.0
DHH0108,Dhanmondi,upper_middle,2024-01,4233.7,4233.7,0.0,0.0,306.9,0.0,0.0,0.0
DHH0109,Dhanmondi,upper_middle,2024-01,4427.5,4427.5,0.0,0.0,275.1,0.0,0.0,0.0
DHH0110,Dhanmondi,upper_middle,2024-01,5924.6,5924.6,0.0,0.0,371.1,0.0,0.0,0.0
DHH0111,Dhanmondi,upper_middle,2024-01,4196.7,4196.7,0.0,0.0,304.4,0.0,0.0,0.0
DHH0112,Dhanmondi,upper_middle,2024-01,6199.2,6199.2,0.0,0.0,381.5,0.0,0.0,0.0
DHH0113,Dhanmondi,upper_middle,2024-01,3872.4,3872.4,0.0,0.0,274.9,0.0,0.0,0.0
DHH0114,Dhanmondi,upper_middle,2024-01,1854.9,1854.9,0.0,0.0,206.9,0.0,0.0,0.0
DHH0115,Dhanmondi,upper_middle,2024-01,5043.1,5043.1,0.0,0.0,318.1,0.0,0.0,0.0
DHH0116,Dhanmondi,upper_middle,2024-01,4078.1,4078.1,0.0,0.0,289.8,0.0,0.0,0.0
DHH0117,Dhanmondi,upper_middle,2024-01,5519.1,5519.1,0.0,0.0,398.0,0.0,0.0,0.0
DHH0118,Dhanmondi,upper_middle,2024-01,3663.3,3663.3,0.0,0.0,223.0,0.0,0.0,0.0
DHH0119,Dhanmondi,upper_middle,2024-01,5782.5,5782.5,0.0,0.0,360.1,0.0,0.0,0.0
DHH0120,Dhanmondi,upper_middle,2024-01,3406.7,3406.7,0.0,0.0,237.1,0.0,0.0,0.0
DHH0001,Dhanmondi,lower_middle,2024-02,909.2,850.8,58.5,6.43,117.5,9.86,2.0,27.7
DHH0002,Dhanmondi,lower_middle,2024-02,708.9,666.4,42.5,6.0,90.3,0.0,4.37,17.5
DHH0003,Dhanmondi,lower_middle,2024-02,793.5,689.9,103.5,13.05,99.7,11.63,5.91,46.9
DHH0004,Dhanmondi,lower_middle,2024-02,1221.4,1154.5,66.9,5.48,158.1,9.5,3.01,31.1
DHH0005,Dhanmondi,lower_middle,2024-02,953.2,873.5,79.7,8.36,120.2,8.15,4.88,35.8
DHH0006,Dhanmondi,lower_middle,2024-02,944.0,882.6,61.4,6.5,120.9,12.19,1.35,29.8
DHH0007,Dhanmondi,lower_middle,2024-02,961.5,920.9,40.6,4.23,126.2,0.0,4.18,16.7
DHH0008,Dhanmondi,lower_middle,2024-02,1034.1,880.7,153.4,14.84,127.7,20.66,7.36,70.8
DHH0009,Dhanmondi,lower_middle,2024-02,1058.6,950.3,108.3,10.23,134.1,21.92,2.21,52.7
DHH0010,Dhanmondi,lower_middle,2024-02,1044.2,946.6,97.7,9.35,131.7,14.24,4.25,45.5
DHH0011,Dhanmondi,lower_middle,2024-02,872.1,820.0,52.1,5.97,111.4,8.91,1.73,24.7
DHH0012,Dhanmondi,lower_middle,2024-02,763.7,715.6,48.1,6.3,95.5,0.0,4.95,19.8
DHH0013,Dhanmondi,lower_middle,2024-02,537.2,501.8,35.4,6.6,67.7,0.0,3.65,14.6
DHH0014,Dhanmondi,lower_middle,2024-02,731.1,684.6,46.5,6.37,45.9,1.58,1.72,10.0
DHH0015,Dhanmondi,middle,2024-02,1530.9,1371.2,159.7,10.43,181.5,25.94,5.01,138.9
DHH0016,Dhanmondi,middle,2024-02,2972.4,2624.5,347.9,11.7,214.3,12.78,15.13,157.1
DHH0017,Dhanmondi,middle,2024-02,1627.6,1425.3,202.3,12.43,192.6,37.75,4.36,181.5
DHH0018,Dhanmondi,middle,2024-02,1389.8,1192.9,197.0,14.17,165.6,26.21,8.54,164.6
DHH0019,Dhanmondi,middle,2024-02,1111.4,947.4,164.1,14.76,138.1,11.75,12.09,131.6
DHH0020,Dhanmondi,middle,2024-02,710.7,605.2,105.5,14.84,88.4,12.98,5.57,90.9
DHH0021,Dhanmondi,middle,2024-02,1699.4,1493.0,206.5,12.15,200.8,31.08,7.49,176.7
DHH0022,Dhanmondi,middle,2024-02,720.9,646.0,74.9,10.39,91.1,11.15,3.16,66.8
DHH0023,Dhanmondi,middle,2024-02,1569.3,1421.2,148.1,9.44,178.5,14.9,7.61,112.9
DHH0024,Dhanmondi,middle,2024-02,1508.3,1344.6,163.7,10.86,171.9,22.94,5.78,132.2
DHH0025,Dhanmondi,middle,2024-02,1463.3,1273.6,189.7,12.97,174.0,25.47,8.14,158.9
DHH0026,Dhanmondi,middle,2024-02,856.0,769.0,87.1,10.17,108.7,8.74,5.4,72.7
DHH0027,Dhanmondi,middle,2024-02,1815.7,1721.4,94.3,5.2,211.4,11.97,3.84,74.7
DHH0028,Dhanmondi,middle,2024-02,1238.7,1105.4,133.3,10.76,146.1,15.86,6.55,109.3
DHH0029,Dhanmondi,middle,2024-02,2137.5,1929.7,207.8,9.72,244.6,28.51,7.57,167.1
DHH0030,Dhanmondi,middle,2024-02,1316.9,1166.9,150.0,11.39,155.9,16.47,7.92,121.4
DHH0031,Dhanmondi,middle,2024-02,1335.3,1192.9,142.3,10.66,158.5,10.48,9.62,109.3
DHH0032,Dhanmondi,middle,2024-02,1393.9,1218.6,175.3,12.58,165.8,24.13,7.28,147.5
DHH0033,Dhanmondi,middle,2024-02,3974.6,3491.0,483.6,12.17,286.2,40.42,11.81,244.3
DHH0034,Dhanmondi,middle,2024-02,1685.0,1568.4,116.7,6.92,205.1,17.78,4.14,100.1
DHH0035,Dhanmondi,middle,2024-02,1763.8,1534.4,229.4,13.01,196.9,23.85,11.47,175.7
DHH0036,Dhanmondi,middle,2024-02,1239.9,1102.6,137.4,11.08,154.7,16.09,7.58,117.4
DHH0037,Dhanmondi,middle,2024-02,1306.2,1171.3,134.9,10.32,157.3,9.65,9.23,103.2
DHH0038,Dhanmondi,middle,2024-02,1821.6,1663.2,158.4,8.7,209.5,20.55,6.26,126.0
DHH0039,Dhanmondi,middle,2024-02,1746.5,1504.2,242.3,13.87,195.4,32.03,9.33,193.4
DHH0040,Dhanmondi,middle,2024-02,1614.0,1404.2,209.7,12.99,179.9,31.25,6.64,171.5
DHH0041,Dhanmondi,middle,2024-02,1216.0,1067.1,148.9,12.24,144.6,15.11,8.37,119.0
DHH0042,Dhanmondi,middle,2024-02,2408.9,2133.9,274.9,11.41,275.0,29.04,13.56,211.1
DHH0043,Dhanmondi,middle,2024-02,1385.9,1280.9,105.0,7.57,165.5,10.53,5.96,83.8
DHH0044,Dhanmondi,middle,2024-02,2063.0,1785.6,277.4,13.45,228.8,31.47,12.8,215.5
DHH0045,Dhanmondi,middle,2024-02,1367.5,1180.8,186.7,13.65,158.2,35.24,3.86,168.0
DHH0046,Dhanmondi,middle,2024-02,1666.6,1424.3,242.4,14.54,187.3,16.1,15.83,175.2
DHH0047,Dhanmondi,middle,2024-02,1510.2,1333.9,176.3,11.68,170.6,18.73,8.66,135.5
DHH0048,Dhanmondi,middle,2024-02,1646.4,1554.1,92.2,5.6,192.0,8.43,5.08,69.3
DHH0049,Dhanmondi,middle,2024-02,1608.3,1419.0,189.3,11.77,191.3,22.53,9.3,155.2
DHH0050,Dhanmondi,middle,2024-02,1098.2,1013.4,84.8,7.72,132.5,11.18,3.72,70.8
DHH0051,Dhanmondi,middle,2024-02,1775.9,1599.7,176.2,9.92,201.8,16.01,9.75,132.3
DHH0052,Dhanmondi,middle,2024-02,1125.9,1022.8,103.1,9.16,142.9,10.32,6.4,86.1
DHH0053,Dhanmondi,middle,2024-02,3688.6,3343.9,344.7,9.34,265.7,20.64,11.74,164.8
DHH0054,Dhanmondi,middle,2024-02,1025.9,975.9,50.0,4.88,133.0,1.55,4.51,37.8
DHH0055,Dhanmondi,middle,2024-02,1148.5,1055.2,93.3,8.12,138.3,9.84,5.09,75.0
DHH0056,Dhanmondi,middle,2024-02,1396.2,1223.4,172.9,12.38,167.3,22.21,7.82,143.6
DHH0057,Dhanmondi,middle,2024-02,1668.1,1521.1,147.0,8.81,201.5,19.63,6.35,122.9
DHH0058,Dhanmondi,middle,2024-02,1541.5,1363.2,178.3,11.56,183.1,25.27,7.1,150.8
DHH0059,Dhanmondi,middle,2024-02,1649.1,1445.4,203.8,12.36,196.3,25.81,9.37,168.8
DHH0060,Dhanmondi,middle,2024-02,4331.2,3905.0,426.2,9.84,271.7,38.82,5.79,195.8
DHH0061,Dhanmondi,middle,2024-02,1009.1,897.2,112.0,11.09,127.6,12.64,6.37,95.1
DHH0062,Dhanmondi,middle,2024-02,1097.3,987.4,109.9,10.02,138.5,15.29,5.08,96.7
DHH0063,Dhanmondi,middle,2024-02,883.4,816.0,67.4,7.63,113.4,10.07,2.83,60.1
DHH0064,Dhanmondi,middle,2024-02,1862.3,1659.8,202.5,10.87,210.1,31.75,5.77,167.4
DHH0065,Dhanmondi,middle,2024-02,1145.6,1021.0,124.6,10.88,145.1,19.24,4.99,111.8
DHH0066,Dhanmondi,middle,2024-02,1463.1,1288.6,174.4,11.92,173.9,22.92,7.69,145.5
DHH0067,Dhanmondi,upper_middle,2024-02,3252.3,3252.3,0.0,0.0,372.3,0.0,0.0,0.0
DHH0068,Dhanmondi,upper_middle,2024-02,4063.0,4063.0,0.0,0.0,295.5,0.0,0.0,0.0
DHH0069,Dhanmondi,upper_middle,2024-02,6500.1,6500.1,0.0,0.0,412.5,0.0,0.0,0.0
DHH0070,Dhanmondi,upper_middle,2024-02,5690.1,5690.1,0.0,0.0,361.4,0.0,0.0,0.0
DHH0071,Dhanmondi,upper_middle,2024-02,6349.8,6349.8,0.0,0.0,396.4,0.0,0.0,0.0
DHH0072,Dhanmondi,upper_middle,2024-02,6451.4,6451.4,0.0,0.0,404.7,0.0,0.0,0.0
DHH0073,Dhanmondi,upper_middle,2024-02,4236.9,4236.9,0.0,0.0,307.7,0.0,0.0,0.0
DHH0074,Dhanmondi,upper_middle,2024-02,5530.2,5530.2,0.0,0.0,393.9,0.0,0.0,0.0
DHH0075,Dhanmondi,upper_middle,2024-02,4959.2,4959.2,0.0,0.0,363.9,0.0,0.0,0.0
DHH0076,Dhanmondi,upper_middle,2024-02,3394.3,3394.3,0.0,0.0,245.6,0.0,0.0,0.0
DHH0077,Dhanmondi,upper_middle,2024-02,5152.9,5152.9,0.0,0.0,323.4,0.0,0.0,0.0
DHH0078,Dhanmondi,upper_middle,2024-02,7450.5,7450.5,0.0,0.0,473.6,0.0,0.0,0.0
DHH0079,Dhanmondi,upper_middle,2024-02,4330.3,4330.3,0.0,0.0,306.3,0.0,0.0,0.0
DHH0080,Dhanmondi,upper_middle,2024-02,4235.3,4235.3,0.0,0.0,264.6,0.0,0.0,0.0
DHH0081,Dhanmondi,upper_middle,2024-02,3696.6,3696.6,0.0,0.0,265.8,0.0,0.0,0.0
DHH0082,Dhanmondi,upper_middle,2024-02,7940.1,7940.1,0.0,0.0,502.3,0.0,0.0,0.0
DHH0083,Dhanmondi,upper_middle,2024-02,4558.2,4558.2,0.0,0.0,325.4,0.0,0.0,0.0
DHH0084,Dhanmondi,upper_middle,2024-02,6541.2,6541.2,0.0,0.0,415.4,0.0,0.0,0.0
DHH0085,Dhanmondi,upper_middle,2024-02,6022.0,6022.0,0.0,0.0,384.3,0.0,0.0,0.0
DHH0086,Dhanmondi,upper_middle,2024-02,5489.8,5489.8,0.0,0.0,338.7,0.0,0.0,0.0
DHH0087,Dhanmondi,upper_middle,2024-02,2176.7,2176.7,0.0,0.0,248.8,0.0,0.0,0.0
DHH0088,Dhanmondi,upper_middle,2024-02,4515.8,4515.8,0.0,0.0,327.8,0.0,0.0,0.0
DHH0089,Dhanmondi,upper_middle,2024-02,3913.5,3913.5,0.0,0.0,284.2,0.0,0.0,0.0
DHH0090,Dhanmondi,upper_middle,2024-02,5757.6,5757.6,0.0,0.0,367.9,0.0,0.0,0.0
DHH0091,Dhanmondi,upper_middle,2024-02,6563.4,6563.4,0.0,0.0,413.8,0.0,0.0,0.0
DHH0092,Dhanmondi,upper_middle,2024-02,6771.1,6771.1,0.0,0.0,435.9,0.0,0.0,0.0
DHH0093,Dhanmondi,upper_middle,2024-02,7147.3,7147.3,0.0,0.0,448.5,0.0,0.0,0.0
DHH0094,Dhanmondi,upper_middle,2024-02,3831.7,3831.7,0.0,0.0,277.2,0.0,0.0,0.0
DHH0095,Dhanmondi,upper_middle,2024-02,5921.2,5921.2,0.0,0.0,432.1,0.0,0.0,0.0
DHH0096,Dhanmondi,upper_middle,2024-02,5306.1,5306.1,0.0,0.0,384.3,0.0,0.0,0.0
DHH0097,Dhanmondi,upper_middle,2024-02,7202.0,7202.0,0.0,0.0,454.9,0.0,0.0,0.0
DHH0098,Dhanmondi,upper_middle,2024-02,3404.9,3404.9,0.0,0.0,242.2,0.0,0.0,0.0
DHH0099,Dhanmondi,upper_middle,2024-02,4120.5,4120.5,0.0,0.0,292.7,0.0,0.0,0.0
DHH0100,Dhanmondi,upper_middle,2024-02,4615.2,4615.2,0.0,0.0,339.7,0.0,0.0,0.0
DHH0101,Dhanmondi,upper_middle,2024-02,5263.1,5263.1,0.0,0.0,332.0,0.0,0.0,0.0
DHH0102,Dhanmondi,upper_middle,2024-02,4782.6,4782.6,0.0,0.0,300.0,0.0,0.0,0.0
DHH0103,Dhanmondi,upper_middle,2024-02,4451.2,4451.2,0.0,0.0,318.1,0.0,0.0,0.0
DHH0104,Dhanmondi,upper_middle,2024-02,4900.8,4900.8,0.0,0.0,359.1,0.0,0.0,0.0
DHH0105,Dhanmondi,upper_middle,2024-02,3781.8,3781.8,0.0,0.0,268.9,0.0,0.0,0.0
DHH0106,Dhanmondi,upper_middle,2024-02,6274.5,6274.5,0.0,0.0,393.9,0.0,0.0,0.0
DHH0107,Dhanmondi,upper_middle,2024-02,5184.7,5184.7,0.0,0.0,383.4,0.0,0.0,0.0
DHH0108,Dhanmondi,upper_middle,2024-02,4790.0,4790.0,0.0,0.0,351.5,0.0,0.0,0.0
DHH0109,Dhanmondi,upper_middle,2024-02,5398.9,5398.9,0.0,0.0,338.6,0.0,0.0,0.0
DHH0110,Dhanmondi,upper_middle,2024-02,7229.7,7229.7,0.0,0.0,459.5,0.0,0.0,0.0
DHH0111,Dhanmondi,upper_middle,2024-02,4617.1,4617.1,0.0,0.0,337.3,0.0,0.0,0.0
DHH0112,Dhanmondi,upper_middle,2024-02,6738.7,6738.7,0.0,0.0,417.5,0.0,0.0,0.0
DHH0113,Dhanmondi,upper_middle,2024-02,4045.2,4045.2,0.0,0.0,291.4,0.0,0.0,0.0
DHH0114,Dhanmondi,upper_middle,2024-02,1960.7,1960.7,0.0,0.0,220.0,0.0,0.0,0.0
DHH0115,Dhanmondi,upper_middle,2024-02,5834.1,5834.1,0.0,0.0,371.1,0.0,0.0,0.0
DHH0116,Dhanmondi,upper_middle,2024-02,4330.9,4330.9,0.0,0.0,310.8,0.0,0.0,0.0
DHH0117,Dhanmondi,upper_middle,2024-02,5636.7,5636.7,0.0,0.0,410.8,0.0,0.0,0.0
DHH0118,Dhanmondi,upper_middle,2024-02,5068.3,5068.3,0.0,0.0,313.1,0.0,0.0,0.0
DHH0119,Dhanmondi,upper_middle,2024-02,6690.3,6690.3,0.0,0.0,423.7,0.0,0.0,0.0
DHH0120,Dhanmondi,upper_middle,2024-02,3870.0,3870.0,0.0,0.0,272.4,0.0,0.0,0.0
