appliance_id,household_id,name,cls,quantity,p_rat_kw,duty_cycle,schedule,thermal_response,id
DHNC0018-A08,DHNC0018,lighting,curtailable,9,0.018,0.9,res_evening_dominant,none,DHNC0018-A08
DHNC0018-A09,DHNC0018,television,curtailable,1,0.095,0.85,res_evening_dominant,none,DHNC0018-A09
DHNC0019-A00,DHNC0019,refrigerator,critical,2,0.15,0.38,flat_always_on,refrigeration,DHNC0019-A00
DHNC0019-A01,DHNC0019,router_and_standby,critical,2,0.035,0.95,flat_always_on,none,DHNC0019-A01
DHNC0019-A02,DHNC0019,electric_iron,shiftable,1,1.0,0.55,res_morning_evening_chore,none,DHNC0019-A02
DHNC0019-A03,DHNC0019,water_pump,shiftable,1,0.75,0.95,pump_offpeak_capable,none,DHNC0019-A03
DHNC0019-A04,DHNC0019,rice_cooker,shiftable,1,0.7,0.6,res_cooking,none,DHNC0019-A04
DHNC0019-A05,DHNC0019,split_ac_1_5ton,curtailable,1,1.65,0.62,res_ac_affluent,cooling_ac,DHNC0019-A05
DHNC0019-A06,DHNC0019,ceiling_fan,curtailable,5,0.075,0.8,res_fan,cooling_fan,DHNC0019-A06
DHNC0019-A07,DHNC0019,lighting,curtailable,11,0.018,0.9,res_evening_dominant,none,DHNC0019-A07
DHNC0019-A08,DHNC0019,television,curtailable,2,0.095,0.85,res_evening_dominant,none,DHNC0019-A08
DHNC0020-A00,DHNC0020,refrigerator,critical,1,0.15,0.38,flat_always_on,refrigeration,DHNC0020-A00
DHNC0020-A01,DHNC0020,router_and_standby,critical,1,0.035,0.95,flat_always_on,none,DHNC0020-A01
DHNC0020-A02,DHNC0020,electric_iron,shiftable,1,1.0,0.55,res_morning_evening_chore,none,DHNC0020-A02
DHNC0020-A03,DHNC0020,rice_cooker,shiftable,1,0.7,0.6,res_cooking,none,DHNC0020-A03
DHNC0020-A04,DHNC0020,ceiling_fan,curtailable,4,0.075,0.8,res_fan,cooling_fan,DHNC0020-A04
DHNC0020-A05,DHNC0020,lighting,curtailable,8,0.018,0.9,res_evening_dominant,none,DHNC0020-A05
DHNC0020-A06,DHNC0020,television,curtailable,1,0.095,0.85,res_evening_dominant,none,DHNC0020-A06
DHNC0021-A00,DHNC0021,refrigerator,critical,1,0.15,0.38,flat_always_on,refrigeration,DHNC0021-A00
DHNC0021-A01,DHNC0021,router_and_standby,critical,1,0.035,0.95,flat_always_on,none,DHNC0021-A01
DHNC0021-A02,DHNC0021,washing_machine,shiftable,1,0.5,0.85,res_morning_evening_chore,none,DHNC0021-A02
DHNC0021-A03,DHNC0021,electric_iron,shiftable,1,1.0,0.55,res_morning_evening_chore,none,DHNC0021-A03
DHNC0021-A04,DHNC0021,water_pump,shiftable,1,0.75,0.95,pump_offpeak_capable,none,DHNC0021-A04
DHNC0021-A05,DHNC0021,rice_cooker,shiftable,1,0.7,0.6,res_cooking,none,DHNC0021-A05
DHNC0021-A06,DHNC0021,split_ac_1_5ton,curtailable,3,1.65,0.62,res_ac_affluent,cooling_ac,DHNC0021-A06
DHNC0021-A07,DHNC0021,ceiling_fan,curtailable,5,0.075,0.8,res_fan,cooling_fan,DHNC0021-A07
DHNC0021-A08,DHNC0021,lighting,curtailable,11,0.018,0.9,res_evening_dominant,none,DHNC0021-A08
DHNC0021-A09,DHNC0021,television,curtailable,2,0.095,0.85,res_evening_dominant,none,DHNC0021-A09
DHNC0022-A00,DHNC0022,refrigerator,critical,1,0.15,0.38,flat_always_on,refrigeration,DHNC0022-A00
DHNC0022-A01,DHNC0022,router_and_standby,critical,1,0.035,0.95,flat_always_on,none,DHNC0022-A01
DHNC0022-A02,DHNC0022,washing_machine,shiftable,1,0.5,0.85,res_morning_evening_chore,none,DHNC0022-A02
DHNC0022-A03,DHNC0022,electric_iron,shiftable,1,1.0,0.55,res_morning_evening_chore,none,DHNC0022-A03
DHNC0022-A04,DHNC0022,water_pump,shiftable,1,0.75,0.95,pump_offpeak_capable,none,DHNC0022-A04
DHNC0022-A05,DHNC0022,split_ac_1_5ton,curtailable,1,1.65,0.62,res_ac_modest,cooling_ac,DHNC0022-A05
DHNC0022-A06,DHNC0022,ceiling_fan,curtailable,2,0.075,0.8,res_fan,cooling_fan,DHNC0022-A06
DHNC0022-A07,DHNC0022,lighting,curtailable,5,0.018,0.9,res_evening_dominant,none,DHNC0022-A07
DHNC0023-A00,DHNC0023,refrigerator,critical,1,0.15,0.38,flat_always_on,refrigeration,DHNC0023-A00
DHNC0023-A01,DHNC0023,router_and_standby,critical,2,0.035,0.95,flat_always_on,none,DHNC0023-A01
DHNC0023-A02,DHNC0023,washing_machine,shiftable,1,0.5,0.85,res_morning_evening_chore,none,DHNC0023-A02
DHNC0023-A03,DHNC0023,water_pump,shiftable,1,0.75,0.95,pump_offpeak_capable,none,DHNC0023-A03
DHNC0023-A04,DHNC0023,rice_cooker,shiftable,1,0.7,0.6,res_cooking,none,DHNC0023-A04
DHNC0023-A05,DHNC0023,split_ac_1_5ton,curtailable,2,1.65,0.62,res_ac_affluent,cooling_ac,DHNC0023-A05
DHNC0023-A06,DHNC0023,ceiling_fan,curtailable,4,0.075,0.8,res_fan,cooling_fan,DHNC0023-A06
DHNC0023-A07,DHNC0023,lighting,curtailable,10,0.018,0.9,res_evening_dominant,none,DHNC0023-A07
DHNC0023-A08,DHNC0023,television,curtailable,1,0.095,0.85,res_evening_dominant,none,DHNC0023-A08
DHNC0024-A00,DHNC0024,refrigerator,critical,2,0.15,0.38,flat_always_on,refrigeration,DHNC0024-A00
DHNC0024-A01,DHNC0024,router_and_standby,critical,2,0.035,0.95,flat_always_on,none,DHNC0024-A01
DHNC0024-A02,DHNC0024,washing_machine,shiftable,1,0.5,0.85,res_morning_evening_chore,none,DHNC0024-A02
DHNC0024-A03,DHNC0024,electric_iron,shiftable,1,1.0,0.55,res_morning_evening_chore,none,DHNC0024-A03
DHNC0024-A04,DHNC0024,water_pump,shiftable,1,0.75,0.95,pump_offpeak_capable,none,DHNC0024-A04
DHNC0024-A05,DHNC0024,rice_cooker,shiftable,1,0.7,0.6,res_cooking,none,DHNC0024-A05
DHNC0024-A06,DHNC0024,ceiling_fan,curtailable,6,0.075,0.8,res_fan,cooling_fan,DHNC0024-A06
DHNC0024-A07,DHNC0024,lighting,curtailable,9,0.018,0.9,res_evening_dominant,none,DHNC0024-A07
DHNC0024-A08,DHNC0024,television,curtailable,2,0.095,0.85,res_evening_dominant,none,DHNC0024-A08
DHNC0025-A00,DHNC0025,refrigerator,critical,2,0.15,0.38,flat_always_on,refrigeration,DHNC0025-A00
DHNC0025-A01,DHNC0025,router_and_standby,critical,1,0.035,0.95,flat_always_on,none,DHNC0025-A01
DHNC0025-A02,DHNC0025,washing_machine,shiftable,1,0.5,0.85,res_morning_evening_chore,none,DHNC0025-A02
DHNC0025-A03,DHNC0025,electric_iron,shiftable,1,1.0,0.55,res_morning_evening_chore,none,DHNC0025-A03
DHNC0025-A04,DHNC0025,water_pump,shiftable,1,0.75,0.95,pump_offpeak_capable,none,DHNC0025-A04
DHNC0025-A05,DHNC0025,rice_cooker,shiftable,1,0.7,0.6,res_cooking,none,DHNC0025-A05
DHNC0025-A06,DHNC0025,split_ac_1_5ton,curtailable,2,1.65,0.62,res_ac_affluent,cooling_ac,DHNC0025-A06
DHNC0025-A07,DHNC0025,ceiling_fan,curtailable,3,0.075,0.8,res_fan,cooling_fan,DHNC0025-A07
DHNC0025-A08,DHNC0025,lighting,curtailable,12,0.018,0.9,res_evening_dominant,none,DHNC0025-A08
DHNC0026-A00,DHNC0026,refrigerator,critical,1,0.15,0.38,flat_always_on,refrigeration,DHNC0026-A00
DHNC0026-A01,DHNC0026,router_and_standby,critical,1,0.035,0.95,flat_always_on,none,DHNC0026-A01
DHNC0026-A02,DHNC0026,washing_machine,shiftable,1,0.5,0.85,res_morning_evening_chore,none,DHNC0026-A02
DHNC0026-A03,DHNC0026,electric_iron,shiftable,1,1.0,0.55,res_morning_evening_chore,none,DHNC0026-A03
DHNC0026-A04,DHNC0026,rice_cooker,shiftable,1,0.7,0.6,res_cooking,none,DHNC0026-A04
DHNC0026-A05,DHNC0026,split_ac_1_5ton,curtailable,1,1.65,0.62,res_ac_modest,cooling_ac,DHNC0026-A05
DHNC0026-A06,DHNC0026,ceiling_fan,curtailable,3,0.075,0.8,res_fan,cooling_fan,DHNC0026-A06
DHNC0026-A07,DHNC0026,lighting,curtailable,5,0.018,0.9,res_evening_dominant,none,DHNC0026-A07
DHNC0026-A08,DHNC0026,television,curtailable,1,0.095,0.85,res_evening_dominant,none,DHNC0026-A08
DHNC0027-A00,DHNC0027,refrigerator,critical,1,0.15,0.38,flat_always_on,refrigeration,DHNC0027-A00
DHNC0027-A01,DHNC0027,router_and_standby,critical,1,0.035,0.95,flat_always_on,none,DHNC0027-A01
DHNC0027-A02,DHNC0027,electric_iron,shiftable,1,1.0,0.55,res_morning_evening_chore,none,DHNC0027-A02
DHNC0027-A03,DHNC0027,rice_cooker,shiftable,1,0.7,0.6,res_cooking,none,DHNC0027-A03
DHNC0027-A04,DHNC0027,ceiling_fan,curtailable,3,0.075,0.8,res_fan,cooling_fan,DHNC0027-A04
DHNC0027-A05,DHNC0027,lighting,curtailable,6,0.018,0.9,res_evening_dominant,none,DHNC0027-A05
DHNC0027-A06,DHNC0027,television,curtailable,1,0.095,0.85,res_evening_dominant,none,DHNC0027-A06
DHNC0028-A00,DHNC0028,refrigerator,critical,1,0.15,0.38,flat_always_on,refrigeration,DHNC0028-A00
DHNC0028-A01,DHNC0028,router_and_standby,critical,1,0.035,0.95,flat_always_on,none,DHNC0028-A01
DHNC0028-A02,DHNC0028,medical_device_home,critical,1,0.12,0.3,flat_always_on,none,DHNC0028-A02
DHNC0028-A03,DHNC0028,washing_machine,shiftable,1,0.5,0.85,res_morning_evening_chore,none,DHNC0028-A03
DHNC0028-A04,DHNC0028,electric_iron,shiftable,1,1.0,0.55,res_morning_evening_chore,none,DHNC0028-A04
DHNC0028-A05,DHNC0028,water_pump,shiftable,1,0.75,0.95,pump_offpeak_capable,none,DHNC0028-A05
DHNC0028-A06,DHNC0028,split_ac_1_5ton,curtailable,2,1.65,0.62,res_ac_affluent,cooling_ac,DHNC0028-A06
DHNC0028-A07,DHNC0028,ceiling_fan,curtailable,4,0.075,0.8,res_fan,cooling_fan,DHNC0028-A07
DHNC0028-A08,DHNC0028,lighting,curtailable,14,0.018,0.9,res_evening_dominant,none,DHNC0028-A08
DHNC0028-A09,DHNC0028,television,curtailable,2,0.095,0.85,res_evening_dominant,none,DHNC0028-A09
DHNC0029-A00,DHNC0029,refrigerator,critical,1,0.15,0.38,flat_always_on,refrigeration,DHNC0029-A00
DHNC0029-A01,DHNC0029,router_and_standby,critical,1,0.035,0.95,flat_always_on,none,DHNC0029-A01
DHNC0029-A02,DHNC0029,washing_machine,shiftable,1,0.5,0.85,res_morning_evening_chore,none,DHNC0029-A02
DHNC0029-A03,DHNC0029,water_pump,shiftable,1,0.75,0.95,pump_offpeak_capable,none,DHNC0029-A03
DHNC0029-A04,DHNC0029,rice_cooker,shiftable,1,0.7,0.6,res_cooking,none,DHNC0029-A04
DHNC0029-A05,DHNC0029,split_ac_1_5ton,curtailable,3,1.65,0.62,res_ac_affluent,cooling_ac,DHNC0029-A05
DHNC0029-A06,DHNC0029,ceiling_fan,curtailable,3,0.075,0.8,res_fan,cooling_fan,DHNC0029-A06
DHNC0029-A07,DHNC0029,lighting,curtailable,12,0.018,0.9,res_evening_dominant,none,DHNC0029-A07
DHNC0029-A08,DHNC0029,television,curtailable,1,0.095,0.85,res_evening_dominant,none,DHNC0029-A08
